EdadJefeHogar,SexoJefeHogar,MiembrosHogar,RatioDependencia,LenguaMaterna,NivelEducativoJefeHogar,AniosEstudioJefeHogar,TipoEmpleo,IngresoMensualHogar,AreaResidencia,TenenciaVivienda,MaterialParedes,AccesoAguaPotable,AccesoSaneamiento,AccesoElectricidad,Hacinamiento,PoseeActivos,Region,GastoMensualHogar,PobrezaMonetaria
44,Hombre,3,3.96,Español,Secundaria,8,Informal,1124.49,Urbana,Alquilada,Ladrillo/Cemento,1,0,1,1,0,Costa,977.96,1
24,Hombre,11,2.44,Español,Secundaria,10,Informal,8870.07,Rural,Propia,Adobe,1,1,1,0,0,Selva,8909.89,0
62,Hombre,7,3.51,Español,Primaria,17,Informal,9267.69,Rural,Alquilada,Ladrillo/Cemento,0,1,1,0,0,Costa,10566.76,1
62,Hombre,1,2.44,Español,Primaria,11,Informal,1816.3500000000001,Urbana,Alquilada,Adobe,1,1,1,0,1,Sierra,1883.19,1
79,Mujer,7,3.6,Español,Primaria,7,Informal,3155.49,Urbana,Alquilada,Madera/Esteras,1,1,1,0,0,Costa,3780.79,1
47,Hombre,4,2.27,Español,Superior,7,Informal,2906.79,Rural,Alquilada,Adobe,1,1,1,1,0,Costa,2566.11,1
50,Hombre,8,4.77,Español,Secundaria,4,Formal,11474.52,Rural,Cedida,Madera/Esteras,0,1,1,0,1,Costa,13280.7,1
68,Hombre,3,1.22,Aymara,Primaria,3,Formal,5031.8099999999995,Urbana,Alquilada,Ladrillo/Cemento,0,0,1,0,1,Selva,4339.46,0
70,Hombre,9,0.8,Español,Secundaria,3,Informal,4748.46,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,0,Sierra,4921.52,1
46,Hombre,5,1.74,Español,Primaria,0,Formal,9621.33,Urbana,Alquilada,Adobe,0,1,1,0,0,Sierra,7853.24,1
64,Mujer,11,2.2,Español,Primaria,10,Formal,3025.5299999999997,Urbana,Cedida,Adobe,1,1,1,0,1,Costa,3129.53,1
42,Hombre,11,1.43,Español,Secundaria,12,Informal,5367.93,Urbana,Alquilada,Madera/Esteras,0,1,1,1,1,Costa,3897.72,1
28,Mujer,10,0.12,Español,Primaria,4,Informal,25259.61,Rural,Alquilada,Madera/Esteras,1,1,1,0,1,Sierra,22766.02,0
60,Hombre,6,2.22,Español,Primaria,9,Desempleado,25027.68,Urbana,Alquilada,Madera/Esteras,1,0,1,1,0,Sierra,21801.82,0
22,Hombre,2,4.3,Español,Secundaria,3,Formal,1178.85,Urbana,Propia,Ladrillo/Cemento,1,1,0,0,1,Costa,873.92,1
61,Hombre,2,3.73,Español,Secundaria,17,Desempleado,14902.23,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Costa,10437.0,0
25,Hombre,10,0.52,Español,Secundaria,7,Informal,1999.62,Rural,Propia,Ladrillo/Cemento,1,1,1,1,0,Sierra,1417.77,1
35,Mujer,5,4.08,Español,Secundaria,2,Informal,22025.97,Rural,Propia,Madera/Esteras,1,1,1,0,0,Costa,18175.9,0
79,Hombre,1,1.03,Español,Superior,9,Informal,4223.82,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Selva,4072.46,0
26,Hombre,6,0.86,Español,Secundaria,19,Formal,8718.630000000001,Rural,Propia,Madera/Esteras,1,0,1,1,1,Costa,6372.61,0
50,Hombre,11,4.58,Español,Primaria,15,Formal,5028.21,Urbana,Alquilada,Madera/Esteras,0,1,1,0,0,Costa,4415.05,0
65,Hombre,11,0.49,Español,Secundaria,18,Informal,3263.79,Rural,Alquilada,Ladrillo/Cemento,1,0,1,0,0,Costa,3050.04,1
34,Hombre,10,3.07,Quechua,Secundaria,4,Formal,4278.84,Urbana,Propia,Madera/Esteras,1,1,1,1,0,Sierra,4347.77,1
78,Hombre,11,4.99,Español,Secundaria,15,Informal,11869.23,Urbana,Propia,Adobe,0,1,1,0,1,Costa,13261.9,0
57,Hombre,10,1.89,Español,Primaria,8,Informal,32168.07,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Selva,30770.37,0
46,Mujer,2,0.36,Español,Primaria,7,Formal,14334.39,Rural,Alquilada,Ladrillo/Cemento,1,1,1,0,0,Costa,15565.4,0
74,Mujer,1,0.52,Español,Secundaria,8,Formal,1394.6399999999999,Urbana,Alquilada,Adobe,1,1,1,0,0,Selva,1284.96,1
57,Hombre,7,4.3,Español,Secundaria,12,Informal,6212.3099999999995,Urbana,Propia,Madera/Esteras,1,1,1,0,0,Costa,6110.98,0
38,Hombre,11,2.52,Español,Secundaria,18,Informal,4847.13,Rural,Propia,Madera/Esteras,1,1,1,1,0,Sierra,4103.24,1
62,Hombre,1,3.46,Quechua,Secundaria,17,Informal,50705.19,Rural,Alquilada,Ladrillo/Cemento,0,1,0,1,1,Sierra,49762.89,0
30,Mujer,4,4.63,Español,Secundaria,19,Informal,11312.82,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,1,Selva,8173.95,0
38,Hombre,10,3.61,Español,Ninguno,0,Informal,4203.63,Urbana,Propia,Ladrillo/Cemento,1,0,0,1,0,Costa,4641.17,1
31,Hombre,2,2.41,Español,Ninguno,17,Informal,1916.0700000000002,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,0,Sierra,2012.3,0
56,Mujer,10,4.96,Español,Secundaria,16,Informal,12200.19,Rural,Alquilada,Madera/Esteras,1,1,1,0,1,Costa,11983.1,0
29,Hombre,2,4.64,Otra,Primaria,4,Informal,5373.87,Rural,Alquilada,Madera/Esteras,0,1,1,0,1,Selva,5845.74,1
67,Mujer,10,1.81,Español,Primaria,0,Desempleado,3401.2200000000003,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,1,Costa,3098.62,0
24,Hombre,9,3.21,Español,Secundaria,11,Informal,3276.4500000000003,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Selva,3591.5,1
79,Hombre,11,2.1,Español,Secundaria,19,Informal,2938.83,Urbana,Propia,Adobe,1,0,1,0,0,Sierra,2817.4,1
71,Hombre,11,2.66,Quechua,Primaria,7,Desempleado,7905.0,Urbana,Propia,Ladrillo/Cemento,1,1,0,0,1,Costa,7434.4,1
23,Hombre,3,2.34,Español,Superior,19,Desempleado,23494.920000000002,Rural,Propia,Adobe,1,1,1,0,0,Costa,25731.79,0
25,Mujer,10,2.76,Aymara,Primaria,20,Informal,9738.69,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,1,1,Sierra,8351.64,0
35,Hombre,11,2.01,Quechua,Superior,12,Formal,3210.7799999999997,Rural,Propia,Ladrillo/Cemento,1,1,0,0,1,Sierra,3027.94,1
46,Mujer,6,2.7,Quechua,Secundaria,13,Informal,4987.2300000000005,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,1,Selva,5923.62,0
29,Hombre,4,1.45,Español,Secundaria,19,Formal,3135.42,Urbana,Alquilada,Ladrillo/Cemento,0,0,1,1,0,Sierra,2366.89,0
67,Mujer,10,2.65,Español,Ninguno,21,Desempleado,29803.47,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,0,Costa,22339.32,0
61,Hombre,7,1.47,Quechua,Secundaria,12,Desempleado,8280.09,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Costa,7771.47,1
68,Hombre,1,2.07,Español,Primaria,20,Informal,20375.31,Urbana,Propia,Adobe,1,1,1,0,0,Costa,19329.27,0
21,Mujer,2,1.15,Español,Secundaria,12,Informal,2339.3999999999996,Urbana,Cedida,Ladrillo/Cemento,1,1,1,1,1,Costa,1802.79,0
25,Hombre,5,0.89,Quechua,Secundaria,20,Informal,7534.469999999999,Urbana,Propia,Ladrillo/Cemento,1,0,1,1,1,Sierra,7237.05,0
52,Hombre,9,0.23,Español,Secundaria,0,Informal,9407.28,Urbana,Cedida,Adobe,1,1,1,1,0,Sierra,8959.64,0
26,Mujer,2,0.56,Quechua,Primaria,5,Desempleado,2671.71,Urbana,Propia,Ladrillo/Cemento,0,1,1,0,0,Costa,2844.62,1
30,Hombre,3,4.38,Español,Ninguno,14,Informal,4089.0299999999997,Urbana,Propia,Ladrillo/Cemento,0,1,1,0,0,Sierra,3163.36,1
50,Mujer,2,0.15,Español,Primaria,4,Informal,20168.88,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Costa,22733.14,0
45,Hombre,8,3.46,Español,Primaria,18,Informal,3177.42,Rural,Alquilada,Ladrillo/Cemento,0,0,1,1,1,Costa,3040.25,0
36,Hombre,11,2.69,Español,Ninguno,9,Informal,15784.650000000001,Rural,Propia,Madera/Esteras,0,1,1,1,0,Selva,17922.5,0
24,Mujer,1,3.08,Español,Primaria,10,Formal,4389.42,Urbana,Propia,Ladrillo/Cemento,0,1,1,0,0,Selva,4232.27,0
28,Hombre,2,2.38,Español,Primaria,3,Informal,2465.61,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,1,1,Selva,1999.04,1
20,Mujer,5,1.31,Quechua,Primaria,2,Formal,2079.66,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,0,Costa,2186.53,1
44,Mujer,5,3.33,Español,Secundaria,17,Informal,1889.31,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Costa,1875.56,1
56,Hombre,7,4.2,Español,Superior,18,Informal,2739.06,Urbana,Propia,Adobe,0,1,1,1,0,Costa,2269.04,1
33,Hombre,9,1.53,Español,Secundaria,7,Formal,3073.44,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,1,Sierra,3473.16,1
65,Mujer,4,4.1,Español,Secundaria,14,Desempleado,11168.64,Urbana,Alquilada,Madera/Esteras,1,1,1,1,1,Costa,8495.08,0
43,Hombre,5,3.72,Español,Ninguno,16,Informal,2778.57,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,1,Selva,2953.16,1
54,Hombre,5,3.51,Español,Ninguno,5,Informal,26510.31,Urbana,Propia,Adobe,1,1,1,0,1,Costa,23970.55,0
65,Mujer,4,3.83,Español,Primaria,1,Formal,7514.3099999999995,Urbana,Propia,Ladrillo/Cemento,1,0,1,0,1,Costa,8793.78,0
47,Mujer,6,4.76,Español,Secundaria,8,Informal,16221.689999999999,Urbana,Propia,Madera/Esteras,1,0,1,1,0,Costa,12892.72,0
49,Mujer,6,4.84,Español,Secundaria,17,Informal,10126.92,Urbana,Propia,Madera/Esteras,1,1,1,1,1,Costa,8694.58,0
77,Hombre,4,3.58,Español,Secundaria,17,Informal,2190.7799999999997,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,1,1,Sierra,2167.61,1
25,Mujer,6,3.31,Español,Primaria,5,Desempleado,6971.88,Rural,Propia,Ladrillo/Cemento,1,1,1,0,0,Sierra,5143.28,1
40,Mujer,6,3.26,Español,Ninguno,13,Formal,50711.009999999995,Rural,Alquilada,Adobe,0,1,1,1,1,Costa,49139.56,0
34,Mujer,5,1.12,Español,Superior,12,Formal,7146.66,Urbana,Propia,Adobe,1,1,1,1,1,Costa,7326.88,0
61,Hombre,10,1.73,Español,Superior,12,Formal,7267.62,Urbana,Propia,Ladrillo/Cemento,0,1,1,0,0,Sierra,6391.93,0
30,Hombre,1,2.71,Español,Primaria,13,Informal,4901.46,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Selva,5828.11,0
34,Hombre,9,0.73,Español,Primaria,11,Informal,11938.86,Urbana,Propia,Ladrillo/Cemento,1,1,0,1,1,Costa,9399.18,0
64,Hombre,6,2.9,Español,Primaria,14,Informal,4133.4,Urbana,Alquilada,Madera/Esteras,1,1,1,0,0,Selva,3265.19,1
48,Hombre,4,0.24,Español,Primaria,4,Formal,7095.18,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Costa,8011.47,0
74,Hombre,4,1.67,Español,Superior,5,Formal,4115.58,Urbana,Propia,Adobe,1,1,1,0,0,Selva,3130.3,1
31,Mujer,2,4.12,Español,Secundaria,14,Desempleado,8155.469999999999,Urbana,Alquilada,Ladrillo/Cemento,0,1,0,0,1,Sierra,9194.77,0
18,Hombre,6,2.48,Español,Primaria,7,Formal,14936.43,Urbana,Propia,Madera/Esteras,1,1,1,0,0,Sierra,16612.43,0
48,Hombre,5,0.36,Español,Secundaria,19,Desempleado,1967.0099999999998,Urbana,Propia,Adobe,1,1,1,1,1,Selva,1825.43,1
34,Hombre,5,0.35,Español,Ninguno,18,Informal,17558.52,Rural,Alquilada,Ladrillo/Cemento,1,1,1,0,0,Costa,18924.09,0
36,Hombre,9,2.83,Español,Ninguno,16,Informal,1074.06,Rural,Alquilada,Adobe,1,0,1,0,1,Costa,929.69,1
72,Hombre,7,1.55,Español,Primaria,19,Formal,8679.03,Rural,Alquilada,Ladrillo/Cemento,1,0,1,1,1,Costa,7008.03,0
29,Mujer,2,2.45,Español,Primaria,21,Formal,15620.369999999999,Rural,Cedida,Ladrillo/Cemento,1,1,1,0,1,Costa,14256.78,0
55,Mujer,2,1.12,Español,Secundaria,10,Informal,2487.93,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Costa,1932.54,1
51,Hombre,2,4.66,Quechua,Primaria,15,Informal,3584.2799999999997,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,1,Costa,3345.87,1
40,Mujer,8,3.7,Español,Primaria,18,Informal,4811.88,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,1,Sierra,4965.96,0
42,Mujer,8,0.96,Español,Secundaria,9,Formal,7148.91,Rural,Alquilada,Ladrillo/Cemento,1,0,1,0,0,Sierra,5126.38,1
32,Mujer,7,3.8,Español,Secundaria,16,Formal,6898.530000000001,Urbana,Propia,Adobe,1,0,1,1,1,Costa,7092.81,0
76,Hombre,7,3.4,Español,Secundaria,19,Formal,8416.98,Rural,Propia,Ladrillo/Cemento,1,0,1,1,1,Costa,9377.55,0
32,Hombre,10,1.08,Quechua,Secundaria,1,Informal,5971.83,Rural,Propia,Adobe,0,0,1,0,0,Costa,6024.22,1
33,Hombre,3,2.04,Quechua,Secundaria,15,Desempleado,9610.32,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Costa,9582.21,0
77,Hombre,2,4.39,Español,Primaria,14,Formal,9557.49,Urbana,Alquilada,Madera/Esteras,1,1,1,0,0,Sierra,10180.73,0
60,Mujer,6,2.09,Español,Ninguno,9,Formal,10468.08,Urbana,Alquilada,Adobe,1,1,1,0,1,Selva,8985.78,0
48,Mujer,8,3.16,Aymara,Ninguno,1,Formal,4223.28,Rural,Alquilada,Ladrillo/Cemento,1,1,1,0,1,Costa,4830.07,0
57,Hombre,9,3.62,Español,Superior,1,Informal,2142.0299999999997,Urbana,Alquilada,Adobe,1,1,1,1,1,Selva,1927.87,1
62,Mujer,1,1.51,Español,Primaria,16,Informal,1980.1499999999999,Urbana,Cedida,Adobe,0,1,0,1,0,Costa,2295.92,1
45,Hombre,9,4.36,Español,Secundaria,12,Formal,1679.6100000000001,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,1,1,Costa,1978.1,1
79,Mujer,11,0.81,Español,Primaria,16,Desempleado,5679.8099999999995,Urbana,Alquilada,Ladrillo/Cemento,0,1,1,1,0,Costa,4006.49,1
68,Mujer,10,1.55,Español,Primaria,21,Formal,2332.44,Urbana,Cedida,Ladrillo/Cemento,1,0,1,0,1,Costa,2478.21,1
46,Hombre,3,0.92,Quechua,Primaria,12,Formal,1202.91,Rural,Propia,Madera/Esteras,1,0,1,0,0,Costa,879.6,1
73,Mujer,10,4.17,Español,Ninguno,7,Informal,11588.7,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Sierra,9530.27,0
29,Mujer,1,3.84,Otra,Primaria,21,Desempleado,9404.130000000001,Urbana,Cedida,Ladrillo/Cemento,1,1,1,0,0,Selva,7786.65,0
52,Hombre,3,3.84,Español,Primaria,2,Formal,5952.8099999999995,Urbana,Propia,Ladrillo/Cemento,0,1,1,0,0,Sierra,4754.25,1
43,Mujer,3,3.12,Quechua,Primaria,18,Informal,7155.39,Urbana,Alquilada,Adobe,0,1,1,0,0,Sierra,5938.14,0
77,Mujer,6,0.46,Quechua,Superior,3,Informal,3104.6400000000003,Urbana,Alquilada,Adobe,1,1,1,1,1,Sierra,2300.43,1
37,Mujer,4,0.63,Español,Secundaria,14,Informal,2711.7,Rural,Alquilada,Adobe,1,0,1,0,1,Costa,2233.81,0
53,Hombre,7,1.67,Español,Ninguno,6,Informal,5924.04,Urbana,Cedida,Adobe,1,0,1,0,0,Costa,4498.06,1
43,Hombre,8,4.22,Quechua,Primaria,4,Informal,10013.82,Urbana,Alquilada,Adobe,1,1,1,0,0,Sierra,10206.06,0
58,Hombre,3,2.6,Español,Primaria,19,Informal,1265.58,Urbana,Alquilada,Ladrillo/Cemento,0,0,1,0,1,Costa,1268.49,1
33,Hombre,8,2.09,Español,Primaria,10,Informal,15895.53,Urbana,Propia,Ladrillo/Cemento,0,1,1,0,1,Costa,16100.43,0
49,Hombre,8,1.96,Español,Primaria,21,Formal,5746.4400000000005,Rural,Propia,Ladrillo/Cemento,1,0,1,0,1,Costa,6259.94,0
46,Hombre,9,4.76,Español,Secundaria,17,Desempleado,6066.99,Rural,Propia,Ladrillo/Cemento,1,0,1,0,1,Costa,6380.22,1
72,Hombre,7,3.57,Español,Superior,10,Formal,9911.91,Urbana,Propia,Madera/Esteras,0,1,1,1,1,Selva,7649.91,0
30,Mujer,9,1.09,Español,Primaria,9,Informal,7622.1900000000005,Rural,Propia,Ladrillo/Cemento,1,1,1,0,0,Costa,8639.51,1
68,Mujer,10,3.11,Español,Ninguno,21,Formal,3507.66,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,1,Sierra,3154.72,0
52,Hombre,7,4.15,Español,Superior,15,Informal,3212.25,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,0,Selva,2885.6,1
60,Mujer,8,1.69,Español,Primaria,4,Informal,7748.460000000001,Urbana,Propia,Ladrillo/Cemento,0,1,1,1,0,Costa,7962.61,1
57,Hombre,3,1.9,Español,Secundaria,21,Desempleado,15464.189999999999,Urbana,Propia,Ladrillo/Cemento,1,0,1,0,1,Sierra,12378.14,0
74,Hombre,11,0.32,Español,Ninguno,11,Informal,10305.210000000001,Urbana,Propia,Madera/Esteras,1,1,1,1,1,Selva,11502.03,0
64,Mujer,8,1.04,Español,Primaria,7,Formal,5545.7699999999995,Rural,Propia,Ladrillo/Cemento,0,1,1,0,0,Costa,6342.98,1
42,Hombre,8,0.65,Español,Primaria,19,Informal,8404.14,Rural,Alquilada,Ladrillo/Cemento,1,1,1,0,0,Costa,10017.43,0
50,Mujer,3,2.16,Quechua,Primaria,9,Informal,19908.48,Urbana,Propia,Adobe,1,1,0,0,1,Selva,16238.82,0
64,Hombre,4,1.9,Español,Primaria,14,Informal,5555.01,Urbana,Alquilada,Madera/Esteras,0,1,1,0,1,Sierra,5535.8,1
61,Hombre,5,1.56,Español,Primaria,19,Informal,3117.7200000000003,Urbana,Propia,Adobe,0,1,1,0,0,Costa,2963.22,1
68,Hombre,8,0.77,Español,Secundaria,21,Desempleado,6715.26,Rural,Propia,Ladrillo/Cemento,1,1,1,1,1,Costa,4962.05,0
38,Hombre,9,4.66,Español,Primaria,4,Informal,18197.37,Rural,Alquilada,Adobe,1,1,1,0,0,Sierra,17715.82,0
47,Mujer,2,1.52,Español,Ninguno,18,Informal,7947.36,Rural,Propia,Ladrillo/Cemento,1,0,1,0,1,Selva,6673.03,0
68,Hombre,3,4.42,Español,Secundaria,3,Informal,19556.79,Rural,Cedida,Adobe,1,0,1,1,1,Costa,23027.62,0
45,Hombre,11,4.14,Español,Ninguno,1,Formal,3594.66,Urbana,Propia,Adobe,1,1,1,0,0,Costa,2716.98,1
78,Hombre,4,4.73,Español,Primaria,11,Informal,2211.12,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,1,Sierra,1576.97,1
52,Mujer,3,3.74,Español,Secundaria,16,Informal,4926.8099999999995,Urbana,Alquilada,Ladrillo/Cemento,1,0,1,0,1,Sierra,5634.61,0
41,Mujer,2,3.74,Español,Secundaria,8,Informal,6616.68,Rural,Alquilada,Ladrillo/Cemento,0,1,1,0,1,Sierra,6920.24,1
55,Hombre,4,0.58,Español,Secundaria,1,Formal,3783.1499999999996,Urbana,Propia,Madera/Esteras,0,0,1,1,0,Costa,3573.09,1
36,Hombre,6,1.95,Español,Primaria,6,Formal,13138.47,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Sierra,13503.07,0
73,Hombre,10,1.54,Español,Secundaria,16,Formal,4059.21,Rural,Propia,Ladrillo/Cemento,1,1,1,0,1,Sierra,4399.89,1
30,Hombre,4,0.54,Español,Primaria,3,Formal,3559.4700000000003,Urbana,Propia,Ladrillo/Cemento,1,0,1,1,0,Costa,2589.11,0
23,Hombre,8,1.9,Quechua,Secundaria,13,Informal,5324.85,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,0,Sierra,4809.75,1
60,Hombre,1,2.85,Español,Secundaria,20,Informal,10320.78,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,0,Costa,12005.25,0
59,Hombre,7,2.27,Quechua,Ninguno,12,Informal,4323.0599999999995,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,1,0,Costa,4824.89,1
27,Mujer,5,3.56,Español,Primaria,17,Formal,6003.39,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,0,Costa,4697.97,0
41,Hombre,7,2.35,Quechua,Superior,9,Formal,1917.4499999999998,Rural,Alquilada,Ladrillo/Cemento,1,1,1,1,0,Selva,1710.66,1
19,Hombre,5,0.07,Quechua,Secundaria,21,Formal,22487.28,Rural,Propia,Adobe,1,0,0,0,0,Sierra,18808.51,0
40,Mujer,3,2.74,Español,Secundaria,12,Formal,4293.0599999999995,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Costa,3288.65,1
29,Mujer,8,0.46,Español,Primaria,9,Formal,6388.17,Urbana,Propia,Madera/Esteras,0,1,1,1,0,Sierra,6255.98,0
36,Mujer,8,3.83,Español,Primaria,7,Informal,7803.36,Rural,Alquilada,Ladrillo/Cemento,1,1,1,0,0,Costa,9359.68,1
33,Hombre,8,4.65,Español,Secundaria,12,Informal,5210.1900000000005,Urbana,Propia,Ladrillo/Cemento,1,1,0,0,1,Costa,6199.6,1
29,Hombre,7,2.3,Español,Primaria,2,Desempleado,18854.550000000003,Rural,Cedida,Adobe,0,0,1,1,1,Costa,20603.77,0
71,Hombre,8,2.46,Quechua,Primaria,17,Informal,5002.9800000000005,Rural,Propia,Adobe,1,1,1,0,0,Costa,5470.86,1
73,Hombre,4,2.91,Español,Primaria,3,Formal,8695.23,Urbana,Alquilada,Adobe,1,1,1,1,1,Costa,7393.41,0
59,Hombre,9,2.45,Quechua,Ninguno,21,Informal,8422.68,Rural,Propia,Madera/Esteras,1,1,1,1,1,Costa,6279.49,0
46,Mujer,3,1.63,Español,Secundaria,9,Formal,5384.5199999999995,Urbana,Cedida,Adobe,1,1,1,1,0,Selva,4893.61,0
39,Mujer,1,0.86,Español,Secundaria,16,Informal,4138.7699999999995,Urbana,Propia,Adobe,0,0,1,1,0,Costa,4199.3,1
44,Mujer,3,4.97,Español,Secundaria,13,Informal,5141.01,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,1,Costa,5548.48,1
75,Hombre,3,3.19,Español,Ninguno,20,Desempleado,7047.75,Urbana,Propia,Madera/Esteras,1,1,1,0,0,Costa,7238.52,0
20,Hombre,2,3.33,Español,Primaria,12,Desempleado,27943.620000000003,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,0,Costa,28691.48,0
34,Mujer,1,1.66,Quechua,Superior,12,Formal,2047.77,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Selva,2418.75,1
42,Mujer,7,4.37,Español,Secundaria,18,Informal,1854.5099999999998,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Costa,1348.43,1
63,Hombre,7,3.3,Otra,Secundaria,7,Informal,5345.7300000000005,Urbana,Propia,Adobe,0,1,1,0,1,Sierra,6096.8,1
55,Hombre,8,1.2,Español,Secundaria,2,Desempleado,3006.84,Urbana,Propia,Madera/Esteras,1,1,1,0,0,Costa,3295.96,1
19,Hombre,11,3.99,Aymara,Secundaria,4,Informal,28835.22,Urbana,Cedida,Ladrillo/Cemento,1,1,1,0,0,Selva,34305.01,0
