EdadJefeHogar,SexoJefeHogar,MiembrosHogar,RatioDependencia,LenguaMaterna,NivelEducativoJefeHogar,AniosEstudioJefeHogar,TipoEmpleo,IngresoMensualHogar,GastoMensualHogar,AreaResidencia,TenenciaVivienda,MaterialParedes,AccesoAguaPotable,AccesoSaneamiento,AccesoElectricidad,Hacinamiento,PoseeActivos,Region,PobrezaMonetaria
69,Hombre,4,0.03,Español,Secundaria,1,Informal,6840.450000000001,7242.76,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Sierra,0
55,Hombre,9,1.34,Español,Ninguno,17,Formal,9041.49,9321.74,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,1,Sierra,1
73,Hombre,7,1.16,Español,Secundaria,20,Informal,21435.84,23166.8,Urbana,Alquilada,Adobe,1,1,1,1,1,Selva,1
69,Hombre,5,0.33,Español,Superior,6,Informal,40788.36,31592.71,Urbana,Cedida,Ladrillo/Cemento,1,1,1,1,1,Sierra,0
23,Hombre,6,2.65,Español,Superior,19,Informal,5727.09,5473.09,Rural,Alquilada,Ladrillo/Cemento,1,1,1,0,1,Selva,0
22,Hombre,8,2.37,Quechua,Primaria,15,Informal,3401.25,3659.88,Rural,Propia,Adobe,1,1,1,1,0,Sierra,1
30,Hombre,1,1.09,Español,Primaria,2,Informal,5093.85,4125.72,Urbana,Propia,Ladrillo/Cemento,1,0,1,0,0,Selva,0
44,Mujer,7,2.77,Español,Primaria,9,Formal,11176.59,8240.62,Rural,Cedida,Ladrillo/Cemento,1,1,1,0,1,Costa,0
26,Hombre,7,2.37,Español,Superior,5,Formal,5112.96,3855.95,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,1,Costa,0
38,Hombre,4,2.89,Español,Secundaria,2,Informal,1766.0700000000002,1600.24,Rural,Propia,Adobe,1,1,1,0,1,Costa,0
38,Hombre,4,0.9,Español,Secundaria,11,Formal,3770.79,3918.3,Urbana,Alquilada,Ladrillo/Cemento,1,0,1,0,0,Sierra,0
69,Mujer,5,2.97,Español,Superior,21,Formal,11512.86,11228.34,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Costa,0
59,Hombre,5,2.03,Español,Secundaria,13,Informal,14209.920000000002,15855.31,Urbana,Cedida,Adobe,1,1,1,1,1,Costa,0
25,Hombre,5,0.0,Español,Superior,12,Formal,5106.9,4146.54,Rural,Propia,Ladrillo/Cemento,1,1,0,1,1,Costa,0
48,Mujer,5,0.91,Español,Secundaria,6,Desempleado,7203.030000000001,7035.1,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Costa,0
21,Mujer,1,0.09,Español,Secundaria,18,Formal,6852.0,5032.8,Urbana,Alquilada,Ladrillo/Cemento,0,0,1,0,0,Selva,0
58,Hombre,3,0.65,Quechua,Superior,13,Formal,3331.6499999999996,2359.86,Urbana,Alquilada,Ladrillo/Cemento,1,1,0,1,0,Costa,0
43,Mujer,6,2.21,Quechua,Secundaria,5,Informal,5788.5599999999995,4249.13,Urbana,Propia,Ladrillo/Cemento,0,0,1,1,0,Costa,1
61,Hombre,1,0.54,Español,Superior,6,Informal,4747.049999999999,4360.17,Urbana,Propia,Ladrillo/Cemento,0,0,1,0,0,Costa,0
57,Hombre,1,2.39,Español,Primaria,1,Formal,10256.94,8239.79,Urbana,Propia,Ladrillo/Cemento,1,0,0,0,0,Selva,0
61,Hombre,1,0.01,Español,Ninguno,19,Formal,9135.78,7795.39,Urbana,Propia,Adobe,0,1,1,0,1,Sierra,0
18,Hombre,4,2.39,Español,Secundaria,5,Informal,11742.33,12180.67,Urbana,Propia,Ladrillo/Cemento,0,0,1,0,0,Selva,0
50,Mujer,6,1.61,Español,Secundaria,2,Informal,2218.83,1898.06,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,1,Sierra,0
45,Mujer,3,0.19,Español,Secundaria,4,Informal,3690.66,4105.25,Rural,Propia,Ladrillo/Cemento,1,1,1,0,1,Costa,1
69,Hombre,6,1.74,Español,Ninguno,9,Formal,9339.150000000001,8000.47,Urbana,Alquilada,Madera/Esteras,1,1,1,0,1,Sierra,0
71,Mujer,1,1.69,Quechua,Primaria,4,Informal,7561.799999999999,8321.38,Rural,Propia,Adobe,0,0,1,0,1,Costa,1
23,Mujer,2,1.37,Español,Secundaria,14,Informal,4941.42,4237.73,Urbana,Propia,Ladrillo/Cemento,0,1,1,0,0,Costa,1
19,Hombre,4,1.78,Quechua,Secundaria,11,Desempleado,4269.87,3143.35,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,1,Selva,0
35,Hombre,5,2.95,Aymara,Superior,16,Desempleado,3654.96,3332.65,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,0,Costa,1
26,Hombre,5,1.87,Español,Primaria,18,Informal,5219.5199999999995,6128.82,Rural,Propia,Adobe,0,0,1,0,0,Sierra,1
52,Hombre,8,1.25,Aymara,Secundaria,14,Informal,1125.3000000000002,1335.53,Urbana,Propia,Madera/Esteras,1,0,1,1,0,Sierra,0
71,Hombre,2,0.26,Español,Secundaria,1,Informal,5028.6,4732.6,Rural,Alquilada,Ladrillo/Cemento,1,1,1,0,1,Costa,0
65,Hombre,4,2.67,Español,Primaria,0,Informal,3540.84,4094.34,Rural,Propia,Ladrillo/Cemento,1,1,0,0,1,Costa,0
79,Mujer,1,2.02,Español,Primaria,16,Desempleado,1976.97,2127.45,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Sierra,0
67,Hombre,1,1.01,Español,Secundaria,11,Informal,10085.61,7553.05,Urbana,Alquilada,Madera/Esteras,1,0,1,0,0,Sierra,1
66,Hombre,4,0.7,Español,Superior,14,Informal,17952.420000000002,20302.92,Urbana,Propia,Ladrillo/Cemento,1,0,1,0,0,Costa,0
60,Hombre,9,2.96,Español,Superior,21,Informal,4976.3099999999995,5891.36,Rural,Alquilada,Ladrillo/Cemento,1,1,1,0,1,Costa,0
24,Mujer,4,2.84,Español,Secundaria,0,Formal,23093.670000000002,21551.23,Urbana,Cedida,Ladrillo/Cemento,0,0,1,1,1,Costa,0
47,Hombre,8,2.31,Español,Secundaria,3,Informal,8092.11,6056.62,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Costa,0
32,Mujer,2,1.9,Español,Primaria,1,Formal,3779.2799999999997,2932.44,Rural,Cedida,Ladrillo/Cemento,1,1,1,0,1,Costa,1
40,Hombre,2,0.84,Español,Secundaria,1,Informal,4226.49,3322.38,Rural,Alquilada,Ladrillo/Cemento,1,1,1,1,0,Sierra,1
38,Hombre,8,2.87,Español,Secundaria,21,Informal,2057.9700000000003,2224.28,Urbana,Propia,Ladrillo/Cemento,1,1,0,1,1,Sierra,1
24,Mujer,2,1.59,Español,Primaria,18,Formal,6304.049999999999,6862.58,Rural,Propia,Ladrillo/Cemento,1,0,1,1,0,Sierra,1
41,Hombre,4,0.23,Quechua,Secundaria,11,Formal,2370.54,2105.89,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Selva,0
23,Hombre,7,1.87,Español,Primaria,0,Informal,12867.99,12753.39,Urbana,Propia,Ladrillo/Cemento,1,0,1,0,1,Costa,0
33,Mujer,9,2.23,Quechua,Superior,12,Desempleado,6120.78,6516.86,Urbana,Alquilada,Adobe,0,1,1,0,1,Selva,0
18,Hombre,7,1.29,Aymara,Ninguno,21,Informal,10648.86,11885.05,Urbana,Propia,Madera/Esteras,1,1,1,0,0,Sierra,0
36,Hombre,5,2.61,Español,Secundaria,4,Informal,12530.82,14316.56,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Sierra,0
66,Hombre,8,1.07,Español,Primaria,5,Formal,9153.48,9000.72,Urbana,Propia,Adobe,1,1,1,0,1,Costa,1
34,Hombre,8,1.04,Español,Superior,6,Formal,10517.369999999999,11280.41,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Costa,0
27,Mujer,4,2.84,Español,Secundaria,6,Formal,4583.700000000001,4748.34,Urbana,Propia,Adobe,0,1,1,0,1,Costa,0
53,Mujer,6,0.43,Español,Superior,7,Informal,14907.21,15163.43,Rural,Propia,Adobe,1,1,1,1,1,Costa,0
46,Hombre,8,0.49,Español,Superior,17,Desempleado,28546.92,20959.7,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,1,Costa,0
62,Hombre,5,0.2,Español,Secundaria,2,Formal,3249.99,3808.23,Urbana,Alquilada,Adobe,1,1,1,0,0,Sierra,0
23,Hombre,4,1.62,Español,Secundaria,15,Formal,7587.42,6474.35,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Costa,0
65,Hombre,6,1.95,Español,Secundaria,14,Informal,5838.8099999999995,6243.53,Urbana,Propia,Ladrillo/Cemento,0,0,1,0,1,Costa,0
46,Hombre,1,1.58,Español,Secundaria,1,Informal,8776.77,7771.71,Urbana,Propia,Madera/Esteras,1,0,1,0,1,Costa,0
56,Mujer,3,2.21,Español,Secundaria,11,Informal,3831.7200000000003,3168.67,Rural,Propia,Madera/Esteras,1,1,1,0,1,Costa,0
48,Hombre,1,2.97,Quechua,Ninguno,11,Informal,2698.17,2017.01,Urbana,Propia,Ladrillo/Cemento,1,0,1,0,0,Selva,1
38,Hombre,3,0.78,Español,Secundaria,11,Informal,21572.31,23756.53,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Sierra,0
29,Hombre,7,2.93,Español,Primaria,9,Informal,2739.3,2673.79,Urbana,Propia,Adobe,1,0,1,1,1,Costa,1
63,Mujer,5,1.23,Español,Secundaria,1,Informal,9671.76,10608.91,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,1,1,Sierra,1
35,Mujer,5,0.16,Español,Superior,19,Desempleado,5945.91,4399.14,Rural,Propia,Ladrillo/Cemento,1,1,1,1,1,Sierra,0
51,Hombre,6,0.04,Español,Primaria,19,Informal,6424.650000000001,6346.91,Rural,Alquilada,Ladrillo/Cemento,1,1,1,0,1,Costa,1
24,Hombre,2,1.81,Español,Primaria,15,Informal,20162.760000000002,23325.61,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Costa,0
75,Mujer,7,1.93,Quechua,Ninguno,13,Formal,579.9000000000001,491.04,Urbana,Cedida,Madera/Esteras,1,1,1,0,1,Sierra,1
56,Hombre,3,2.89,Español,Secundaria,19,Informal,10606.17,11131.56,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,1,Costa,1
76,Mujer,3,1.8,Español,Secundaria,19,Formal,1010.94,811.17,Urbana,Propia,Adobe,1,0,1,0,0,Selva,0
73,Mujer,6,2.23,Español,Ninguno,15,Informal,4481.16,4493.92,Rural,Cedida,Ladrillo/Cemento,1,0,0,0,1,Selva,1
43,Hombre,9,2.9,Español,Secundaria,6,Informal,14495.400000000001,15110.13,Urbana,Propia,Adobe,1,0,0,1,1,Costa,0
26,Mujer,8,1.4,Español,Secundaria,0,Informal,1783.3200000000002,1917.65,Urbana,Propia,Ladrillo/Cemento,1,0,1,0,1,Sierra,1
55,Mujer,1,2.55,Español,Primaria,20,Informal,9661.619999999999,11345.97,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Costa,0
65,Hombre,1,2.19,Quechua,Secundaria,7,Informal,6509.64,5906.17,Urbana,Alquilada,Ladrillo/Cemento,1,0,1,0,0,Selva,1
50,Hombre,7,2.71,Español,Primaria,17,Formal,3422.19,4087.31,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Costa,0
57,Hombre,5,1.8,Quechua,Secundaria,11,Formal,16088.939999999999,18443.23,Rural,Alquilada,Ladrillo/Cemento,1,1,0,1,0,Selva,0
60,Hombre,6,1.73,Español,Secundaria,14,Informal,28656.629999999997,27665.39,Urbana,Alquilada,Adobe,1,0,1,0,0,Selva,1
79,Hombre,8,0.75,Español,Secundaria,15,Formal,1556.79,1724.06,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,1,Selva,0
63,Hombre,5,0.55,Español,Primaria,4,Formal,3449.07,2987.59,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,1,Sierra,0
35,Hombre,9,0.11,Español,Secundaria,4,Informal,4733.16,4956.07,Rural,Propia,Adobe,1,1,1,0,0,Costa,1
44,Hombre,1,1.33,Español,Secundaria,13,Informal,1500.6299999999999,1480.04,Urbana,Propia,Ladrillo/Cemento,0,1,1,0,1,Costa,1
73,Mujer,9,1.76,Español,Secundaria,9,Formal,2282.31,2581.42,Urbana,Alquilada,Ladrillo/Cemento,1,0,1,1,0,Selva,0
18,Mujer,3,2.6,Español,Secundaria,20,Informal,3582.54,2976.89,Urbana,Propia,Adobe,1,1,1,1,0,Costa,0
51,Hombre,8,1.79,Español,Secundaria,17,Informal,13593.689999999999,14368.16,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,1,Costa,0
24,Hombre,4,0.68,Otra,Secundaria,8,Formal,4612.0199999999995,4200.12,Urbana,Alquilada,Ladrillo/Cemento,0,1,1,0,0,Selva,1
66,Hombre,7,2.93,Español,Primaria,12,Formal,7766.219999999999,6900.87,Rural,Alquilada,Adobe,0,1,1,0,1,Costa,0
61,Mujer,5,1.2,Español,Secundaria,20,Informal,26124.989999999998,24742.03,Rural,Propia,Adobe,1,1,0,0,1,Costa,0
26,Hombre,7,2.44,Español,Secundaria,19,Formal,2681.7,2667.49,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,1,Sierra,0
62,Hombre,3,1.99,Español,Superior,16,Formal,1529.76,1081.82,Urbana,Alquilada,Ladrillo/Cemento,0,0,1,0,0,Sierra,0
51,Mujer,8,2.28,Español,Secundaria,20,Informal,1988.22,1583.25,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,0,Costa,0
74,Hombre,4,1.32,Español,Secundaria,7,Formal,5800.7699999999995,4540.81,Urbana,Cedida,Ladrillo/Cemento,1,1,1,0,0,Sierra,0
50,Mujer,4,0.12,Aymara,Primaria,11,Informal,14229.78,16088.2,Rural,Alquilada,Ladrillo/Cemento,1,0,1,1,1,Costa,1
66,Hombre,6,0.12,Español,Superior,11,Desempleado,1575.1799999999998,1475.45,Urbana,Propia,Adobe,1,1,1,0,0,Selva,1
35,Mujer,7,0.24,Español,Superior,6,Formal,1592.8200000000002,1685.42,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Selva,1
27,Hombre,4,1.82,Español,Secundaria,7,Formal,2898.12,2852.84,Urbana,Propia,Adobe,1,1,1,0,1,Sierra,0
58,Mujer,9,1.46,Español,Primaria,4,Informal,17472.6,15646.4,Urbana,Cedida,Adobe,1,1,1,0,0,Sierra,1
64,Hombre,8,1.77,Español,Secundaria,10,Formal,11127.81,8815.68,Urbana,Propia,Adobe,1,1,1,0,0,Sierra,0
35,Hombre,2,0.73,Español,Secundaria,9,Desempleado,8767.98,9014.96,Rural,Propia,Ladrillo/Cemento,0,1,1,0,1,Sierra,0
63,Mujer,3,1.69,Español,Ninguno,4,Desempleado,6858.780000000001,5525.21,Rural,Propia,Ladrillo/Cemento,0,0,1,0,1,Costa,0
38,Mujer,2,1.88,Español,Primaria,2,Informal,7829.460000000001,7692.89,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Sierra,0
32,Mujer,1,0.12,Español,Primaria,2,Formal,3508.17,2724.89,Rural,Cedida,Adobe,0,0,0,1,0,Costa,1
77,Hombre,3,1.61,Español,Ninguno,6,Informal,2616.54,2834.6,Urbana,Cedida,Adobe,1,1,1,1,1,Costa,0
76,Mujer,9,1.19,Español,Primaria,20,Desempleado,7513.289999999999,8973.19,Urbana,Cedida,Ladrillo/Cemento,1,1,1,0,1,Costa,0
46,Hombre,8,0.12,Español,Ninguno,4,Informal,1771.62,1642.71,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,1,Costa,1
32,Hombre,6,0.49,Español,Primaria,19,Informal,1807.7400000000002,1389.81,Urbana,Propia,Adobe,1,0,1,0,1,Sierra,1
63,Hombre,7,0.94,Español,Secundaria,7,Informal,3528.18,3780.38,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,1,Sierra,0
45,Hombre,9,1.59,Español,Primaria,17,Informal,6668.099999999999,6715.52,Rural,Propia,Ladrillo/Cemento,1,0,0,1,1,Costa,1
56,Hombre,8,1.93,Español,Primaria,15,Informal,4772.85,3516.43,Urbana,Propia,Ladrillo/Cemento,1,0,1,0,1,Costa,0
42,Mujer,9,2.17,Español,Secundaria,15,Informal,1579.6799999999998,1367.55,Urbana,Propia,Ladrillo/Cemento,1,0,1,1,1,Sierra,1
27,Mujer,8,1.59,Quechua,Primaria,18,Informal,1788.5099999999998,1434.89,Urbana,Propia,Ladrillo/Cemento,1,0,1,1,1,Sierra,0
76,Hombre,5,2.36,Español,Primaria,5,Formal,1735.62,1445.89,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,1,Sierra,1
34,Mujer,7,2.09,Español,Secundaria,15,Informal,5351.9400000000005,4624.22,Urbana,Propia,Ladrillo/Cemento,0,0,1,1,0,Selva,1
36,Mujer,5,2.15,Quechua,Secundaria,16,Informal,19943.79,21614.53,Urbana,Propia,Adobe,0,1,1,1,1,Selva,0
55,Hombre,2,2.79,Español,Ninguno,20,Informal,9512.91,10470.9,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,1,Costa,1
64,Mujer,6,0.94,Quechua,Secundaria,2,Informal,2062.41,1940.04,Rural,Propia,Ladrillo/Cemento,1,1,1,1,0,Selva,1
59,Mujer,5,0.69,Español,Superior,3,Informal,1279.35,1199.05,Urbana,Propia,Adobe,0,1,1,0,1,Sierra,0
58,Hombre,7,2.09,Español,Secundaria,10,Informal,4464.72,4362.43,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Costa,0
39,Mujer,5,0.72,Español,Superior,2,Informal,4959.51,4451.59,Urbana,Cedida,Ladrillo/Cemento,1,0,1,1,1,Costa,0
