"","p207_20","p208a_20","p104_20","p110a1_20","p1121_20","p1123_20","p1124_20","p1125_20","p1126_20","p1127_20","p1141_20","p1142_20","p1143_20","p1144_20","p1145_20","p301b_20","p301d_20","p306_20","p310_20","p314a_20","p314b1_1_20","p314b1_2_20","p314b1_6_20","p314b1_7_20","p314b1_8_20","p314b1_9_20","p501_20","p5561a_20","p5562a_20","p5563a_20","p5564a_20","p5565a_20","p5566a_20","p5567a_20","p5568a_20","p5569a_20","p558a1_20","p558a2_20","p558a3_20","p558a4_20","p558a5_20","p558e1_1_20","p558e1_2_20","p558e1_3_20","p558e1_6_20","p558e1_7_20","p558g1_20","p558g2_20","p558g3_20","p558g4_20","p558g5_20","ingmo2hd","p401h1_20","p401h2_20","p401h3_20","p401h4_20","p401h5_20","p401h6_20","p401_20","p4021_20","p4022_20","p4023_20","p4024_20","p4025_20","p4191_20","p4192_20","p4193_20","p4194_20","p4195_20","p4196_20","p4197_20","p4198_20","p101_20_2","p101_20_3","p101_20_4","p101_20_6","p102_20_2","p102_20_3","p102_20_5","p102_20_6","p102_20_7","p102_20_8","p102_20_9","p105a_20_2","p105a_20_3","p105a_20_4","p105a_20_5","p105a_20_6","p110_20_2","p110_20_3","p110_20_4","p110_20_5","p110_20_6","p110_20_7","p111a_20_2","p111a_20_3","p111a_20_4","p111a_20_5","p111a_20_6","p111a_20_7","p111a_20_9","p113a_20_2","p113a_20_3","p113a_20_5","p113a_20_6","p113a_20_7","dominio_20_","estrato_20_","p209_20_2","p209_20_3","p209_20_4","p209_20_5","p209_20_6","p300a_20_2","p300a_20_3","p300a_20_4","p300a_20_6","p300a_20_7","p300a_20_8","p300a_20_9","p300a_20_11","p300a_20_14","p300a_20_15","p301a_20_2","p301a_20_3","p301a_20_4","p301a_20_5","p301a_20_6","p301a_20_7","p301a_20_8","p301a_20_9","p301a_20_10","p301a_20_11","p301a_20_12","p401f_20_2","p401f_20_3","p558c_20_2","p558c_20_3","p558c_20_4","p558c_20_5","p558c_20_6","p558c_20_7","p558c_20_8","p558c_20_9"
"11",1,48,4,1,1,0,0,0,0,0,0,1,0,1,0,3,1,2,2,1,0,0,0,0,0,9,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,10240,2,2,2,2,2,2,1,1,0,0,0,0,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"12",2,46,4,1,1,0,0,0,0,0,0,1,0,1,0,3,2,2,2,1,0,0,0,0,0,9,2,2,2,2,2,2,2,2,2,2,0,0,0,0,5,0,0,0,6,0,0,0,0,0,5,0,2,2,2,2,2,2,1,0,0,0,0,1,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"13",1,25,4,1,1,0,0,0,0,0,0,1,0,1,0,2,1,1,2,1,0,0,0,0,8,0,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,2,2,2,2,2,2,1,1,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"14",1,54,6,1,1,0,0,0,0,0,0,1,0,1,0,1,1,2,2,1,0,0,0,0,0,9,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,5,1774,2,2,2,2,2,2,2,0,0,0,0,1,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"15",1,31,6,1,1,0,0,0,0,0,0,1,0,1,0,5,1,2,2,1,0,2,0,0,0,9,1,2,2,2,2,2,2,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,29220,2,2,2,2,2,2,1,0,0,0,0,1,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"16",2,32,4,1,1,0,0,0,0,0,0,1,0,1,0,3,2,2,2,1,0,0,0,0,8,9,2,2,2,2,2,2,2,2,2,2,0,0,0,0,5,1,0,0,0,0,0,0,0,0,5,0,2,2,2,2,2,2,2,0,0,0,0,1,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"17",2,30,5,1,1,0,0,0,0,0,0,1,0,0,0,2,1,1,1,1,0,0,0,0,0,9,2,2,2,1,2,2,2,2,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,5,18647,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2,2,1,2,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",2,21,5,1,1,0,0,0,0,0,0,1,0,0,0,5,1,2,2,1,0,0,0,0,0,9,1,2,2,2,2,2,2,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,6704,2,2,2,2,2,2,2,0,0,0,0,1,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",1,36,5,1,1,0,0,0,0,0,0,1,0,0,0,3,2,2,2,1,0,0,0,0,0,9,1,2,2,2,2,2,2,2,2,2,0,0,0,0,5,0,0,0,6,0,0,0,3,0,0,7216,2,2,2,2,2,2,2,0,0,0,0,1,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"20",1,58,4,1,1,0,0,0,0,0,0,1,1,0,0,5,1,2,2,1,0,0,0,0,8,0,1,2,2,2,2,2,2,2,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,5,20973,2,2,2,2,2,2,1,1,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"21",1,20,4,1,1,0,0,0,0,0,0,1,1,0,0,5,1,2,2,1,0,0,0,0,0,9,2,2,2,2,2,2,2,2,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,5,8659,2,2,2,2,2,2,1,0,1,0,0,0,2,2,2,2,1,2,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"22",1,40,4,1,1,0,0,0,0,0,1,1,1,1,0,3,1,2,2,1,0,0,0,0,8,0,1,2,2,1,2,2,2,2,2,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,49305,2,2,2,2,2,2,1,0,0,1,0,0,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",2,34,4,1,1,0,0,0,0,0,1,1,1,1,0,4,1,2,2,1,0,0,0,0,8,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,5,1,0,0,0,0,0,0,0,0,5,0,2,2,2,2,2,2,2,0,0,0,0,1,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"24",2,57,2,1,1,0,0,0,0,0,1,1,1,1,0,5,1,2,2,1,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,26395,2,2,2,2,2,2,1,1,0,0,0,0,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"25",1,29,2,1,1,0,0,0,0,0,1,1,1,1,0,6,1,2,2,1,1,0,0,0,8,0,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,29058,2,2,2,2,2,2,1,0,0,0,0,1,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"26",2,74,4,1,1,0,0,0,0,0,1,1,1,1,0,5,1,2,2,1,0,0,0,0,8,0,2,2,2,2,1,2,2,2,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,5,6954,2,2,2,2,2,2,2,0,0,0,0,1,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"27",2,46,4,1,1,0,0,0,0,0,1,1,1,1,0,5,1,2,2,1,1,0,0,0,0,9,1,2,2,2,2,2,2,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,66618,2,2,2,2,2,2,1,0,0,0,0,1,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"28",1,39,4,1,1,0,0,0,0,0,1,1,1,1,0,3,1,2,2,1,0,2,0,7,0,9,1,2,2,2,2,2,2,2,2,2,1,0,0,0,0,1,0,0,0,7,0,0,0,0,5,27053,2,2,2,2,2,2,2,0,0,0,0,1,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"29",2,36,4,1,1,0,0,0,0,0,1,1,1,1,0,3,2,2,2,1,0,2,0,7,0,9,1,2,2,2,2,2,2,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,20292,2,2,2,2,2,2,1,0,0,0,0,1,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"30",1,49,4,1,1,0,0,0,0,0,1,1,0,1,0,5,1,2,2,1,0,0,0,0,0,9,1,2,2,2,2,2,2,2,2,2,0,0,0,4,0,1,0,0,0,0,0,0,0,0,5,13272,2,2,2,2,2,2,1,0,0,0,0,1,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"31",1,85,5,1,1,0,0,0,0,0,1,1,1,1,0,3,2,2,2,1,1,0,0,0,0,0,2,2,2,2,1,2,2,2,2,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,5,14097,2,2,2,1,2,2,1,0,0,0,0,1,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"32",2,59,5,1,1,0,0,0,0,0,1,1,1,1,0,5,1,2,2,1,1,0,0,0,0,9,2,2,2,2,2,2,2,2,2,2,0,0,0,0,5,1,0,0,0,0,0,0,0,0,5,1522,2,2,2,2,2,2,1,0,0,0,0,1,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"33",1,29,5,1,1,0,0,0,0,0,1,1,1,1,0,5,2,2,2,1,0,2,0,0,8,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,5,1,0,0,0,0,0,0,0,0,5,2263,2,2,2,2,2,2,1,0,0,0,0,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"34",2,66,5,1,1,0,0,0,0,0,1,1,0,1,0,5,1,2,2,1,0,0,0,0,0,9,2,2,2,2,2,2,2,2,2,2,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,2,2,2,2,2,2,1,0,1,0,0,0,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"35",1,33,5,1,1,0,0,0,0,0,1,1,0,1,0,5,2,2,2,1,0,0,0,0,8,0,1,2,2,2,2,2,2,2,2,2,0,0,0,0,5,0,0,0,6,0,0,0,0,0,5,11904,2,2,2,2,2,2,2,0,0,0,0,1,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"36",2,26,5,1,1,0,0,0,0,0,1,1,0,1,0,5,1,2,2,1,0,0,0,0,8,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,5,0,0,0,6,0,0,0,0,0,5,0,2,2,2,2,2,2,2,0,0,0,0,1,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"37",2,58,5,1,1,0,0,0,0,0,1,1,1,1,0,5,1,2,2,1,0,0,0,0,0,9,2,2,2,2,2,2,2,2,2,2,0,0,0,0,5,1,0,0,0,0,0,0,3,0,0,1154,2,2,2,2,2,2,1,0,0,0,0,1,2,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"38",1,63,5,1,1,0,0,0,0,0,1,1,1,1,0,3,1,2,2,1,0,0,0,0,0,9,2,2,2,2,1,2,2,2,2,2,0,0,0,4,0,1,0,0,0,0,0,0,3,0,0,25051,2,2,2,2,2,2,2,0,0,0,0,1,2,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"39",1,63,4,1,1,0,0,0,0,0,1,1,0,1,0,5,2,2,2,1,1,0,0,0,8,0,1,2,2,2,2,2,2,2,2,2,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,38470,2,2,2,2,2,2,2,0,0,0,0,1,2,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"40",2,63,4,1,1,0,0,0,0,0,1,1,0,1,0,5,2,2,2,1,1,0,0,0,0,9,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,1,0,0,0,0,1,0,0,4,0,20433,2,2,2,2,2,2,1,0,0,0,0,1,2,2,2,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
