EdadJefeHogar,SexoJefeHogar,MiembrosHogar,RatioDependencia,LenguaMaterna,NivelEducativoJefeHogar,TipoEmpleo,AreaResidencia,Region,AccesoAguaPotable,AccesoSaneamiento,Hacinamiento,PoseeActivos,TenenciaVivienda,MaterialParedes,AccesoElectricidad,AniosEstudioJefeHogar,IngresoMensualHogar,GastoMensualHogar,PobrezaMonetaria
79,Hombre,4,1.54,Español,Superior,Informal,Rural,Costa,1,1,1,0,Propia,Adobe,1,21,5099.8,4236.24,0
18,Mujer,3,2.93,Español,Secundaria,Informal,Urbana,Selva,1,0,0,1,Propia,Ladrillo/Cemento,1,8,1108.37,902.02,1
37,Mujer,5,0.41,Español,Primaria,Informal,Urbana,Selva,1,1,0,0,Cedida,Ladrillo/Cemento,1,4,1353.32,1291.19,1
59,Hombre,7,2.81,Español,Superior,Formal,Urbana,Sierra,1,1,0,1,Propia,Ladrillo/Cemento,1,14,10498.06,9598.87,0
44,Mujer,3,0.28,Quechua,Ninguno,Informal,Urbana,Costa,1,1,1,0,Cedida,Madera/Esteras,1,0,1052.54,776.13,1
64,Hombre,2,2.8,Español,Superior,Desempleado,Rural,Costa,1,1,0,1,Propia,Adobe,1,18,1911.96,1536.19,0
22,Hombre,8,2.91,Español,Ninguno,Informal,Urbana,Sierra,0,0,1,0,Propia,Ladrillo/Cemento,1,0,623.13,741.25,1
34,Hombre,5,1.54,Español,Superior,Informal,Urbana,Costa,1,1,1,0,Alquilada,Ladrillo/Cemento,1,20,3462.05,3530.66,0
62,Mujer,5,2.31,Español,Secundaria,Formal,Rural,Costa,1,0,1,1,Alquilada,Ladrillo/Cemento,1,7,2356.76,1722.02,0
63,Hombre,4,0.48,Español,Primaria,Desempleado,Urbana,Costa,1,1,0,1,Alquilada,Ladrillo/Cemento,1,5,1344.67,1301.17,1
45,Hombre,8,2.78,Español,Secundaria,Desempleado,Rural,Costa,1,1,1,1,Propia,Adobe,1,11,1207.37,845.18,1
43,Hombre,2,2.27,Español,Superior,Formal,Urbana,Costa,1,1,0,0,Propia,Ladrillo/Cemento,1,16,8115.89,9712.11,0
19,Hombre,1,0.48,Español,Secundaria,Formal,Urbana,Sierra,1,1,0,0,Propia,Ladrillo/Cemento,1,10,4448.54,3164.04,0
58,Mujer,1,1.23,Español,Secundaria,Informal,Urbana,Costa,1,1,0,0,Propia,Ladrillo/Cemento,1,9,1671.48,1843.57,0
69,Hombre,9,1.12,Español,Primaria,Informal,Urbana,Costa,1,1,0,1,Alquilada,Madera/Esteras,1,2,1318.13,1374.07,1
71,Mujer,4,2.16,Español,Primaria,Informal,Urbana,Costa,1,1,0,0,Propia,Ladrillo/Cemento,1,2,1212.35,929.82,1
64,Hombre,5,1.3,Español,Secundaria,Formal,Urbana,Costa,0,1,0,1,Propia,Madera/Esteras,1,10,7197.95,7772.26,0
23,Hombre,2,2.2,Otra,Primaria,Informal,Rural,Costa,1,0,1,0,Propia,Ladrillo/Cemento,1,3,1111.18,837.79,0
47,Mujer,1,2.65,Español,Primaria,Informal,Urbana,Sierra,1,0,1,0,Propia,Ladrillo/Cemento,1,1,994.43,1068.79,0
40,Mujer,1,1.17,Español,Secundaria,Formal,Urbana,Costa,0,0,0,1,Propia,Ladrillo/Cemento,1,9,4526.77,3340.18,0
19,Hombre,5,2.65,Español,Secundaria,Informal,Rural,Costa,0,1,0,0,Propia,Adobe,0,10,1223.88,1001.85,1
79,Hombre,4,2.45,Español,Superior,Desempleado,Urbana,Selva,1,1,0,1,Propia,Ladrillo/Cemento,1,13,645.07,530.4,1
73,Mujer,3,1.74,Español,Ninguno,Informal,Urbana,Costa,1,1,0,1,Cedida,Adobe,1,0,690.19,626.83,1
26,Mujer,8,0.85,Español,Ninguno,Informal,Rural,Sierra,1,0,0,1,Propia,Madera/Esteras,1,0,655.51,543.64,1
34,Hombre,7,2.32,Quechua,Primaria,Formal,Rural,Costa,1,0,1,1,Propia,Ladrillo/Cemento,1,6,2504.56,1983.41,1
68,Mujer,9,1.73,Español,Superior,Informal,Urbana,Costa,1,1,1,1,Propia,Ladrillo/Cemento,0,15,1390.97,1486.96,1
22,Hombre,6,2.66,Español,Primaria,Desempleado,Urbana,Costa,1,1,0,1,Propia,Ladrillo/Cemento,1,4,1149.44,1176.32,1
69,Hombre,9,2.34,Español,Primaria,Formal,Urbana,Costa,1,1,0,0,Propia,Ladrillo/Cemento,1,5,5190.58,6005.3,0
59,Hombre,7,2.34,Español,Ninguno,Informal,Urbana,Costa,1,1,0,0,Propia,Ladrillo/Cemento,1,0,1286.13,1029.36,1
78,Hombre,7,0.37,Español,Secundaria,Informal,Urbana,Costa,0,1,0,0,Propia,Madera/Esteras,0,8,3180.28,2843.08,0
42,Hombre,8,0.63,Español,Secundaria,Formal,Rural,Costa,1,1,0,1,Propia,Ladrillo/Cemento,1,7,3046.11,2480.02,1
41,Mujer,7,0.9,Español,Primaria,Informal,Urbana,Selva,1,0,1,1,Alquilada,Ladrillo/Cemento,1,6,652.7,767.47,1
35,Hombre,8,1.56,Español,Primaria,Informal,Urbana,Sierra,0,0,0,1,Propia,Ladrillo/Cemento,1,2,916.06,708.65,1
68,Hombre,9,1.76,Español,Secundaria,Desempleado,Rural,Selva,1,1,0,0,Propia,Adobe,1,11,469.87,375.05,1
46,Hombre,9,2.61,Español,Superior,Informal,Urbana,Selva,1,1,0,1,Cedida,Adobe,1,13,3762.77,3608.86,0
48,Mujer,4,0.78,Español,Secundaria,Formal,Rural,Sierra,0,1,1,0,Propia,Ladrillo/Cemento,1,10,3383.41,3307.13,0
77,Hombre,8,1.99,Español,Ninguno,Informal,Urbana,Selva,1,1,0,1,Cedida,Ladrillo/Cemento,1,0,725.78,627.71,1
30,Hombre,4,0.33,Quechua,Primaria,Informal,Urbana,Costa,0,1,0,1,Propia,Adobe,1,1,4379.56,3342.11,0
74,Hombre,1,1.89,Español,Primaria,Formal,Urbana,Sierra,1,1,0,1,Propia,Ladrillo/Cemento,1,3,2316.75,2535.48,0
50,Hombre,5,1.8,Español,Secundaria,Desempleado,Urbana,Costa,1,0,0,0,Propia,Ladrillo/Cemento,1,10,2598.06,1868.57,0
61,Mujer,4,1.12,Español,Primaria,Informal,Rural,Costa,1,0,0,0,Alquilada,Ladrillo/Cemento,1,3,1719.12,1488.05,0
33,Hombre,1,1.41,Español,Superior,Formal,Rural,Costa,1,0,0,0,Alquilada,Ladrillo/Cemento,1,15,3366.06,2851.49,0
46,Hombre,4,1.59,Español,Primaria,Informal,Urbana,Sierra,0,0,1,0,Propia,Ladrillo/Cemento,1,1,1150.25,946.33,1
44,Hombre,6,2.24,Español,Secundaria,Informal,Urbana,Selva,1,1,0,1,Propia,Ladrillo/Cemento,1,10,2136.37,1950.11,1
62,Hombre,1,0.55,Quechua,Ninguno,Informal,Urbana,Selva,1,1,0,0,Propia,Madera/Esteras,1,0,879.9,859.33,0
74,Hombre,4,2.1,Español,Ninguno,Informal,Rural,Costa,1,1,0,1,Propia,Madera/Esteras,1,0,852.84,735.1,1
53,Hombre,6,1.27,Español,Primaria,Informal,Urbana,Sierra,0,1,0,0,Propia,Adobe,1,1,1192.8,1186.46,1
70,Mujer,7,0.48,Español,Secundaria,Formal,Urbana,Costa,1,1,0,1,Alquilada,Ladrillo/Cemento,1,9,2951.14,3440.58,0
52,Mujer,3,0.64,Quechua,Primaria,Informal,Rural,Selva,0,1,1,1,Propia,Ladrillo/Cemento,1,6,1246.3,1009.1,0
38,Mujer,8,2.53,Español,Secundaria,Desempleado,Urbana,Selva,0,1,0,0,Alquilada,Ladrillo/Cemento,1,8,819.09,704.11,1
67,Hombre,8,0.02,Español,Ninguno,Formal,Urbana,Sierra,0,1,0,0,Alquilada,Ladrillo/Cemento,1,0,3745.72,3268.7,0
61,Hombre,7,2.96,Español,Primaria,Formal,Urbana,Sierra,0,0,0,0,Propia,Adobe,1,6,2993.69,2763.8,0
47,Hombre,8,2.61,Español,Secundaria,Desempleado,Urbana,Costa,1,1,0,1,Alquilada,Ladrillo/Cemento,1,7,1711.42,1283.88,1
52,Hombre,5,1.69,Español,Secundaria,Informal,Urbana,Sierra,1,0,0,1,Propia,Ladrillo/Cemento,1,9,1806.7,1482.92,1
52,Mujer,5,0.1,Aymara,Secundaria,Informal,Rural,Selva,1,1,0,1,Propia,Adobe,1,11,1506.45,1419.52,1
48,Hombre,5,2.28,Español,Superior,Informal,Urbana,Selva,1,1,0,1,Propia,Adobe,1,14,1782.3,2106.15,1
28,Hombre,1,0.52,Español,Secundaria,Informal,Urbana,Costa,0,1,0,0,Alquilada,Adobe,1,7,4640.93,5368.37,0
40,Mujer,4,0.56,Español,Superior,Formal,Urbana,Selva,0,1,0,1,Propia,Ladrillo/Cemento,1,13,4720.07,5352.4,0
57,Mujer,8,1.43,Español,Secundaria,Formal,Urbana,Sierra,1,0,0,1,Propia,Ladrillo/Cemento,0,7,9416.42,8380.64,0
29,Mujer,5,0.8,Español,Secundaria,Informal,Urbana,Selva,1,0,1,1,Propia,Ladrillo/Cemento,1,11,2123.24,2130.03,0
62,Hombre,6,2.46,Quechua,Superior,Desempleado,Rural,Sierra,1,1,1,0,Alquilada,Ladrillo/Cemento,1,14,864.41,870.94,1
30,Hombre,2,0.19,Español,Secundaria,Desempleado,Urbana,Costa,1,1,0,1,Propia,Ladrillo/Cemento,1,7,1511.9,1708.23,0
72,Mujer,5,1.75,Español,Primaria,Informal,Urbana,Selva,1,1,0,0,Propia,Adobe,1,6,1067.99,897.69,1
31,Mujer,8,1.47,Español,Primaria,Formal,Urbana,Sierra,1,1,1,1,Alquilada,Adobe,1,2,1905.26,1791.68,1
68,Hombre,3,2.42,Español,Ninguno,Informal,Rural,Costa,1,0,0,1,Propia,Ladrillo/Cemento,1,0,705.82,783.98,1
79,Hombre,5,1.55,Español,Secundaria,Informal,Urbana,Costa,0,1,0,0,Alquilada,Ladrillo/Cemento,1,11,3155.44,2915.04,0
50,Mujer,6,1.17,Español,Primaria,Informal,Urbana,Selva,1,1,0,0,Alquilada,Ladrillo/Cemento,1,2,1700.0,1486.56,1
24,Hombre,5,2.5,Español,Primaria,Informal,Rural,Costa,1,1,0,1,Alquilada,Ladrillo/Cemento,1,3,1338.25,1277.3,1
43,Hombre,1,0.37,Español,Primaria,Informal,Urbana,Costa,1,1,1,1,Propia,Adobe,0,5,1604.54,1790.63,0
55,Hombre,1,1.11,Español,Primaria,Informal,Urbana,Selva,1,1,0,1,Propia,Madera/Esteras,1,3,1132.1,940.31,0
48,Hombre,4,2.14,Español,Ninguno,Informal,Urbana,Sierra,1,1,0,0,Propia,Ladrillo/Cemento,1,0,1192.97,1132.84,1
41,Hombre,2,2.89,Quechua,Primaria,Desempleado,Urbana,Selva,1,1,1,0,Propia,Adobe,1,5,983.53,1100.27,0
63,Hombre,3,1.72,Español,Secundaria,Formal,Urbana,Costa,1,0,0,0,Propia,Ladrillo/Cemento,1,11,12372.82,9328.65,0
50,Hombre,4,0.2,Quechua,Secundaria,Informal,Urbana,Costa,1,1,0,0,Alquilada,Madera/Esteras,1,10,3195.44,2287.27,0
65,Hombre,7,0.58,Español,Secundaria,Informal,Urbana,Selva,1,0,1,0,Propia,Ladrillo/Cemento,1,10,1094.96,1198.34,1
62,Mujer,7,0.63,Español,Superior,Formal,Urbana,Selva,1,0,0,1,Alquilada,Ladrillo/Cemento,1,14,5133.55,4108.34,0
78,Mujer,4,1.2,Español,Superior,Informal,Urbana,Costa,1,1,0,0,Propia,Ladrillo/Cemento,1,18,5484.87,3848.48,0
36,Mujer,7,2.27,Español,Primaria,Informal,Rural,Costa,0,1,0,1,Propia,Ladrillo/Cemento,1,4,1055.58,1019.48,1
54,Hombre,3,0.61,Español,Superior,Informal,Rural,Selva,1,1,0,1,Propia,Adobe,1,12,1433.89,1133.88,0
30,Mujer,9,1.27,Español,Secundaria,Formal,Urbana,Costa,1,1,1,1,Propia,Ladrillo/Cemento,1,11,3000.79,3479.3,1
51,Hombre,1,0.84,Español,Primaria,Informal,Urbana,Sierra,0,0,0,0,Cedida,Ladrillo/Cemento,1,5,1302.79,1465.43,0
42,Hombre,2,1.23,Español,Secundaria,Informal,Rural,Selva,1,1,1,1,Propia,Adobe,1,11,1000.89,752.0,0
33,Hombre,5,2.0,Español,Primaria,Informal,Urbana,Selva,0,0,1,1,Propia,Adobe,1,6,559.51,457.77,1
25,Hombre,1,1.02,Español,Primaria,Informal,Rural,Selva,1,1,1,0,Propia,Ladrillo/Cemento,1,1,940.05,698.7,0
20,Hombre,7,1.81,Aymara,Secundaria,Desempleado,Urbana,Sierra,1,1,0,1,Propia,Adobe,1,11,2447.43,2855.49,1
18,Hombre,6,0.59,Español,Primaria,Informal,Urbana,Costa,1,1,0,1,Alquilada,Ladrillo/Cemento,1,1,1056.58,1020.81,1
19,Hombre,3,1.3,Español,Ninguno,Informal,Urbana,Costa,1,1,0,0,Propia,Ladrillo/Cemento,1,0,979.85,805.79,1
68,Mujer,5,1.32,Español,Primaria,Formal,Urbana,Costa,1,1,0,1,Propia,Ladrillo/Cemento,1,6,3607.2,2588.8,0
59,Hombre,2,1.33,Quechua,Primaria,Informal,Urbana,Costa,1,0,0,1,Propia,Ladrillo/Cemento,1,6,3906.12,3713.6,0
41,Hombre,2,0.93,Español,Primaria,Formal,Urbana,Costa,1,1,0,0,Alquilada,Adobe,1,5,9273.27,10657.9,0
69,Mujer,1,1.27,Español,Primaria,Informal,Urbana,Sierra,1,1,0,0,Propia,Ladrillo/Cemento,1,3,1322.91,1391.3,0
27,Hombre,5,1.88,Quechua,Primaria,Formal,Urbana,Sierra,1,1,0,1,Propia,Ladrillo/Cemento,1,6,2351.79,1870.46,0
28,Hombre,1,2.68,Aymara,Ninguno,Desempleado,Urbana,Sierra,1,1,0,1,Alquilada,Adobe,1,0,261.79,244.17,1
21,Hombre,7,0.91,Español,Secundaria,Formal,Urbana,Sierra,0,0,0,0,Alquilada,Ladrillo/Cemento,1,8,6368.9,4595.85,0
42,Hombre,7,1.14,Español,Secundaria,Desempleado,Urbana,Sierra,1,0,0,1,Cedida,Ladrillo/Cemento,1,10,955.91,800.07,1
32,Mujer,1,1.0,Español,Secundaria,Informal,Rural,Sierra,1,1,0,1,Propia,Ladrillo/Cemento,1,11,1513.3,1250.52,0
18,Hombre,8,0.07,Español,Superior,Informal,Urbana,Costa,1,1,0,0,Propia,Ladrillo/Cemento,1,13,4350.04,3511.43,0
23,Mujer,7,2.29,Español,Ninguno,Informal,Rural,Costa,1,1,0,1,Propia,Ladrillo/Cemento,1,0,1968.11,1486.67,1
51,Hombre,9,0.17,Español,Primaria,Informal,Urbana,Sierra,1,1,0,1,Alquilada,Adobe,1,6,1034.54,1057.59,1
46,Hombre,1,0.25,Español,Secundaria,Formal,Urbana,Selva,1,1,0,1,Propia,Adobe,1,9,4052.22,3478.92,0
77,Mujer,6,2.29,Quechua,Primaria,Desempleado,Urbana,Selva,1,0,0,1,Alquilada,Adobe,1,5,533.74,377.51,1
25,Hombre,8,0.93,Español,Primaria,Informal,Rural,Sierra,0,1,0,1,Cedida,Ladrillo/Cemento,1,6,1132.15,1255.75,1
23,Hombre,3,0.26,Español,Secundaria,Formal,Urbana,Costa,1,1,0,0,Alquilada,Ladrillo/Cemento,0,11,2974.65,2144.68,0
37,Hombre,9,0.29,Quechua,Superior,Desempleado,Urbana,Sierra,1,0,0,0,Propia,Adobe,1,18,1778.24,1479.99,1
44,Hombre,5,2.79,Español,Primaria,Formal,Rural,Sierra,1,0,0,0,Alquilada,Ladrillo/Cemento,1,6,1759.66,1398.64,1
75,Mujer,3,0.64,Español,Secundaria,Formal,Urbana,Sierra,0,0,1,0,Propia,Ladrillo/Cemento,1,7,3299.41,3620.71,0
67,Hombre,8,1.83,Español,Secundaria,Informal,Urbana,Costa,0,1,1,0,Alquilada,Ladrillo/Cemento,1,7,2502.28,2501.29,1
48,Mujer,5,1.49,Español,Primaria,Desempleado,Rural,Sierra,0,1,1,0,Cedida,Ladrillo/Cemento,1,2,680.89,747.85,1
69,Hombre,1,2.61,Español,Secundaria,Formal,Rural,Costa,0,0,0,0,Alquilada,Ladrillo/Cemento,0,11,3829.26,3470.22,0
24,Mujer,3,1.96,Español,Primaria,Formal,Urbana,Selva,1,0,0,0,Propia,Adobe,1,6,1610.06,1505.6,0
35,Hombre,6,0.32,Español,Secundaria,Formal,Urbana,Costa,1,1,0,0,Propia,Ladrillo/Cemento,0,8,15215.47,12127.16,0
73,Hombre,4,2.69,Español,Secundaria,Formal,Rural,Selva,1,1,0,0,Propia,Adobe,1,11,2133.53,1977.42,0
65,Hombre,7,1.04,Español,Secundaria,Formal,Urbana,Selva,1,1,1,1,Alquilada,Adobe,0,8,2425.36,2516.87,1
42,Hombre,6,0.52,Español,Secundaria,Informal,Rural,Costa,1,0,0,1,Propia,Ladrillo/Cemento,1,11,1683.4,1759.14,1
58,Mujer,3,1.33,Español,Primaria,Informal,Urbana,Costa,1,1,0,0,Propia,Adobe,1,4,1591.93,1488.97,0
56,Hombre,9,2.69,Español,Superior,Informal,Urbana,Costa,1,0,0,0,Propia,Madera/Esteras,1,21,8518.02,10090.66,0
58,Mujer,8,1.67,Español,Primaria,Desempleado,Urbana,Costa,1,0,0,0,Propia,Ladrillo/Cemento,1,4,804.95,642.82,1
59,Hombre,1,2.84,Quechua,Secundaria,Desempleado,Urbana,Sierra,1,0,0,0,Propia,Ladrillo/Cemento,1,11,2293.1,2585.06,0
30,Mujer,6,0.8,Español,Secundaria,Informal,Urbana,Selva,1,1,0,0,Propia,Ladrillo/Cemento,1,10,1965.96,2253.89,1
52,Hombre,6,1.24,Quechua,Secundaria,Informal,Urbana,Costa,1,1,0,1,Propia,Madera/Esteras,1,9,2815.82,3248.29,0
18,Hombre,5,1.57,Español,Secundaria,Informal,Urbana,Costa,1,0,0,0,Propia,Ladrillo/Cemento,1,8,3014.64,3086.1,0
48,Hombre,5,2.87,Español,Primaria,Informal,Urbana,Costa,1,1,0,0,Alquilada,Madera/Esteras,1,1,2424.35,2773.02,0
53,Hombre,4,0.87,Español,Secundaria,Informal,Rural,Selva,1,1,0,0,Alquilada,Ladrillo/Cemento,0,7,933.45,867.11,1
53,Hombre,5,2.37,Español,Primaria,Desempleado,Urbana,Selva,1,1,0,1,Propia,Madera/Esteras,1,3,351.35,416.77,1
23,Mujer,8,0.43,Español,Superior,Informal,Urbana,Costa,1,1,0,0,Propia,Ladrillo/Cemento,0,14,2071.14,1511.1,1
34,Hombre,4,1.19,Español,Secundaria,Informal,Urbana,Costa,1,1,0,0,Propia,Adobe,1,9,3026.32,2722.21,0
68,Hombre,1,1.66,Español,Primaria,Informal,Urbana,Costa,1,1,0,1,Propia,Ladrillo/Cemento,1,4,1400.64,1357.96,0
21,Hombre,2,2.38,Quechua,Secundaria,Formal,Rural,Selva,1,0,0,1,Propia,Adobe,1,7,2735.74,2022.04,0
59,Hombre,5,2.13,Español,Primaria,Informal,Urbana,Costa,0,0,0,1,Propia,Adobe,1,3,3201.02,3756.18,0
26,Hombre,3,0.44,Español,Primaria,Informal,Urbana,Sierra,1,0,0,1,Alquilada,Ladrillo/Cemento,1,3,1661.6,1735.95,0
79,Hombre,7,1.69,Español,Secundaria,Desempleado,Rural,Sierra,1,1,0,1,Alquilada,Ladrillo/Cemento,1,8,1102.44,1252.46,1
29,Hombre,1,1.69,Quechua,Secundaria,Informal,Urbana,Selva,1,1,1,0,Propia,Ladrillo/Cemento,1,8,2985.54,3035.83,0
46,Mujer,6,1.19,Quechua,Ninguno,Formal,Urbana,Sierra,1,0,1,0,Propia,Adobe,1,0,2360.55,1964.48,1
50,Hombre,1,2.97,Español,Primaria,Desempleado,Rural,Selva,1,0,0,1,Cedida,Ladrillo/Cemento,1,6,439.47,326.3,0
63,Hombre,4,2.1,Español,Secundaria,Formal,Urbana,Selva,1,1,0,1,Propia,Ladrillo/Cemento,1,10,3528.1,3258.34,0
44,Hombre,3,1.14,Quechua,Ninguno,Formal,Rural,Sierra,1,1,1,1,Alquilada,Adobe,1,0,1576.05,1205.32,0
77,Hombre,8,0.8,Español,Superior,Formal,Urbana,Sierra,1,1,0,0,Propia,Ladrillo/Cemento,1,18,4439.85,5010.81,0
18,Hombre,2,2.42,Español,Superior,Informal,Rural,Costa,0,0,0,0,Alquilada,Madera/Esteras,1,17,5018.58,4777.96,0
64,Hombre,4,0.04,Español,Primaria,Informal,Urbana,Costa,1,1,0,0,Propia,Ladrillo/Cemento,1,3,1655.94,1921.09,0
51,Mujer,1,2.55,Español,Secundaria,Informal,Urbana,Selva,1,1,0,0,Propia,Adobe,1,8,1500.21,1672.3,0
18,Hombre,7,0.59,Quechua,Secundaria,Informal,Urbana,Costa,1,1,1,1,Alquilada,Ladrillo/Cemento,1,11,2352.36,1736.74,1
42,Hombre,3,0.55,Español,Primaria,Informal,Rural,Sierra,1,1,0,0,Propia,Adobe,1,6,1054.33,963.83,1
76,Hombre,5,1.19,Español,Secundaria,Desempleado,Rural,Costa,1,1,0,1,Propia,Ladrillo/Cemento,1,7,1586.17,1229.58,1
60,Hombre,1,2.55,Español,Secundaria,Informal,Urbana,Selva,0,0,1,0,Propia,Ladrillo/Cemento,1,10,2809.52,3169.7,0
62,Hombre,8,2.21,Español,Secundaria,Formal,Urbana,Costa,1,1,0,0,Propia,Adobe,1,8,4016.74,4089.39,0
45,Hombre,3,0.58,Otra,Ninguno,Informal,Urbana,Sierra,1,1,0,0,Cedida,Ladrillo/Cemento,1,0,844.82,986.4,1
46,Hombre,5,0.24,Quechua,Ninguno,Informal,Urbana,Costa,1,0,0,1,Propia,Adobe,1,0,1070.61,831.7,1
73,Hombre,3,1.01,Español,Ninguno,Informal,Rural,Sierra,1,0,0,1,Alquilada,Ladrillo/Cemento,1,0,566.23,594.32,1
40,Hombre,4,1.97,Español,Secundaria,Formal,Rural,Selva,1,1,0,1,Propia,Ladrillo/Cemento,1,7,2774.62,3252.36,0
72,Hombre,8,1.13,Español,Secundaria,Informal,Rural,Costa,1,1,0,1,Propia,Ladrillo/Cemento,1,11,1548.14,1124.0,1
48,Hombre,1,0.44,Español,Primaria,Desempleado,Urbana,Costa,0,1,0,0,Alquilada,Ladrillo/Cemento,1,3,1481.04,1362.24,0
57,Mujer,3,1.96,Español,Primaria,Informal,Rural,Sierra,1,1,0,1,Propia,Ladrillo/Cemento,1,4,1002.98,1156.73,1
28,Hombre,4,2.97,Español,Secundaria,Informal,Urbana,Sierra,1,1,0,1,Propia,Adobe,1,9,1660.59,1896.99,0
