EdadJefeHogar,SexoJefeHogar,MiembrosHogar,RatioDependencia,LenguaMaterna,NivelEducativoJefeHogar,AniosEstudioJefeHogar,TipoEmpleo,IngresoMensualHogar,GastoMensualHogar,AreaResidencia,TenenciaVivienda,MaterialParedes,AccesoAguaPotable,AccesoSaneamiento,AccesoElectricidad,Hacinamiento,PoseeActivos,Region,PobrezaMonetaria
21,Hombre,4,0.04,Quechua,Secundaria,5,Desempleado,7686.0599999999995,7633.66,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Costa,1
42,Hombre,7,1.86,Español,Primaria,19,Informal,5209.83,6187.84,Rural,Propia,Ladrillo/Cemento,1,1,1,1,1,Sierra,1
36,Hombre,3,0.38,Español,Secundaria,18,Desempleado,2348.2799999999997,2039.06,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,0,Costa,0
72,Hombre,4,2.94,Español,Primaria,1,Formal,3165.42,2418.13,Urbana,Alquilada,Adobe,0,1,1,0,1,Selva,1
49,Mujer,3,2.12,Español,Secundaria,3,Informal,22218.12,20105.37,Urbana,Alquilada,Ladrillo/Cemento,1,0,1,0,0,Selva,0
34,Hombre,6,2.5,Español,Superior,3,Informal,7438.77,7721.31,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,1,0,Costa,0
32,Hombre,4,2.89,Español,Superior,0,Informal,1780.8600000000001,1729.51,Rural,Propia,Adobe,0,1,1,0,0,Sierra,1
71,Hombre,2,2.64,Español,Superior,7,Formal,13602.48,14501.05,Urbana,Alquilada,Adobe,1,0,1,0,0,Sierra,0
43,Hombre,7,2.71,Español,Primaria,2,Informal,13950.300000000001,16021.78,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Selva,0
74,Hombre,5,1.72,Español,Superior,3,Informal,5880.03,5444.61,Urbana,Propia,Ladrillo/Cemento,1,0,1,1,1,Sierra,1
53,Hombre,6,1.48,Español,Secundaria,1,Formal,1984.3500000000001,1657.58,Urbana,Alquilada,Adobe,1,1,0,0,0,Sierra,1
36,Hombre,8,2.27,Español,Superior,3,Informal,5624.79,4683.15,Urbana,Propia,Ladrillo/Cemento,1,0,1,1,0,Costa,0
74,Mujer,8,0.62,Español,Superior,14,Formal,2851.23,2361.98,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,0,Costa,0
71,Hombre,9,2.22,Español,Primaria,6,Formal,9811.44,7901.45,Rural,Propia,Ladrillo/Cemento,1,0,1,0,1,Selva,0
79,Hombre,4,2.53,Español,Superior,1,Formal,7004.3099999999995,7346.34,Urbana,Alquilada,Ladrillo/Cemento,1,0,1,1,0,Sierra,0
76,Hombre,2,1.25,Español,Superior,13,Informal,46840.47,47054.13,Rural,Propia,Adobe,1,1,0,0,1,Costa,1
55,Hombre,1,1.4,Español,Primaria,5,Formal,9009.69,6588.46,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Sierra,0
68,Hombre,1,2.56,Español,Primaria,7,Formal,1393.08,1150.49,Rural,Propia,Ladrillo/Cemento,0,0,1,0,1,Selva,0
68,Mujer,7,1.91,Español,Superior,12,Formal,8960.52,9910.02,Urbana,Propia,Madera/Esteras,1,1,0,1,0,Costa,0
35,Hombre,3,1.74,Español,Secundaria,14,Informal,12641.22,11307.92,Urbana,Propia,Adobe,1,0,1,0,1,Sierra,1
64,Hombre,9,1.86,Español,Primaria,12,Informal,8917.05,10514.33,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,0,Sierra,1
22,Mujer,2,1.69,Español,Primaria,0,Informal,8879.97,10465.7,Rural,Propia,Adobe,1,1,1,1,0,Selva,0
29,Mujer,1,1.67,Español,Primaria,10,Formal,10276.5,8964.16,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,1,Selva,0
33,Hombre,3,0.36,Español,Ninguno,8,Formal,10054.650000000001,11434.93,Urbana,Propia,Ladrillo/Cemento,1,0,1,1,0,Costa,0
21,Mujer,9,1.48,Español,Secundaria,19,Informal,8812.2,6288.16,Urbana,Alquilada,Madera/Esteras,1,1,1,0,0,Costa,0
48,Hombre,6,0.22,Español,Secundaria,17,Informal,5524.29,4933.77,Urbana,Alquilada,Adobe,1,1,1,0,1,Costa,0
39,Hombre,5,0.77,Quechua,Ninguno,5,Informal,14198.49,10201.94,Urbana,Alquilada,Adobe,1,0,1,0,1,Selva,1
29,Hombre,6,1.67,Español,Primaria,11,Formal,3628.83,4031.81,Urbana,Propia,Adobe,0,1,1,1,0,Selva,0
66,Hombre,3,1.08,Español,Superior,9,Informal,3980.25,4157.78,Urbana,Propia,Ladrillo/Cemento,0,0,1,0,1,Selva,0
39,Hombre,3,2.46,Español,Secundaria,3,Desempleado,6510.93,7321.37,Rural,Alquilada,Adobe,1,0,1,0,0,Costa,0
73,Mujer,3,2.9,Quechua,Secundaria,14,Informal,49678.770000000004,35264.3,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Selva,0
25,Mujer,9,2.26,Español,Secundaria,1,Informal,6222.99,5427.63,Urbana,Propia,Ladrillo/Cemento,1,0,1,1,1,Sierra,1
44,Hombre,1,0.62,Español,Secundaria,16,Informal,5745.18,6745.18,Urbana,Cedida,Adobe,1,0,1,0,0,Sierra,0
28,Hombre,2,0.25,Español,Secundaria,19,Informal,3263.94,2575.5,Urbana,Propia,Adobe,0,0,0,1,1,Sierra,0
74,Mujer,4,1.44,Español,Secundaria,7,Informal,4772.76,3701.97,Rural,Propia,Ladrillo/Cemento,0,0,1,0,1,Costa,0
48,Hombre,4,2.24,Español,Secundaria,7,Informal,9715.26,10449.4,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,0,Costa,0
63,Hombre,3,0.65,Aymara,Ninguno,16,Formal,3215.67,2757.18,Urbana,Propia,Adobe,1,1,1,1,0,Costa,0
22,Hombre,2,0.57,Quechua,Superior,12,Informal,3922.9500000000003,4270.07,Rural,Propia,Ladrillo/Cemento,0,1,1,1,0,Selva,0
44,Hombre,1,0.99,Aymara,Ninguno,17,Informal,4914.75,5838.59,Rural,Alquilada,Adobe,1,0,0,0,0,Sierra,1
69,Hombre,6,1.66,Español,Primaria,13,Informal,10879.710000000001,9819.74,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,1,1,Costa,0
74,Hombre,4,1.39,Español,Superior,5,Formal,2878.92,3175.66,Urbana,Propia,Adobe,1,1,1,0,0,Costa,0
52,Hombre,8,2.0,Quechua,Secundaria,3,Informal,5980.59,6197.68,Rural,Propia,Adobe,1,1,1,0,0,Costa,0
56,Mujer,7,0.71,Español,Secundaria,6,Informal,2235.87,2547.85,Urbana,Propia,Madera/Esteras,0,1,0,1,1,Sierra,0
37,Mujer,5,0.64,Quechua,Secundaria,2,Desempleado,7060.349999999999,6378.42,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Sierra,0
49,Hombre,9,1.73,Español,Ninguno,17,Formal,18255.329999999998,18232.68,Rural,Propia,Ladrillo/Cemento,1,0,0,0,0,Selva,1
38,Hombre,7,2.3,Español,Secundaria,2,Informal,26656.409999999996,24789.39,Urbana,Alquilada,Ladrillo/Cemento,0,1,1,0,0,Sierra,0
24,Hombre,5,2.45,Español,Primaria,18,Formal,19627.050000000003,19008.97,Urbana,Propia,Ladrillo/Cemento,0,0,1,0,1,Costa,0
56,Hombre,3,2.09,Español,Superior,10,Informal,1998.75,2197.95,Urbana,Propia,Ladrillo/Cemento,1,1,0,1,1,Selva,0
71,Mujer,8,2.03,Otra,Superior,7,Informal,3119.79,2694.09,Urbana,Propia,Ladrillo/Cemento,0,0,1,1,0,Costa,1
43,Hombre,9,0.3,Aymara,Secundaria,21,Informal,9699.27,7871.65,Urbana,Cedida,Adobe,1,1,0,0,0,Costa,0
44,Hombre,3,0.84,Español,Ninguno,9,Informal,4250.58,3926.09,Urbana,Propia,Adobe,1,1,1,0,1,Selva,0
54,Mujer,9,2.99,Español,Secundaria,7,Informal,6752.07,5608.95,Rural,Propia,Ladrillo/Cemento,1,1,1,0,1,Selva,0
66,Mujer,6,0.84,Quechua,Superior,12,Informal,11387.22,11305.07,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,1,Costa,0
74,Hombre,6,0.24,Español,Ninguno,10,Formal,9011.49,8130.84,Urbana,Alquilada,Madera/Esteras,0,0,0,0,0,Sierra,0
72,Hombre,4,0.43,Español,Ninguno,0,Informal,19966.68,22033.93,Urbana,Propia,Adobe,1,0,1,1,1,Sierra,1
19,Hombre,2,1.82,Español,Primaria,19,Desempleado,17472.6,13642.46,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,1,Costa,0
33,Hombre,9,2.82,Español,Primaria,17,Desempleado,2681.91,2512.48,Urbana,Propia,Madera/Esteras,1,0,1,1,1,Selva,1
39,Hombre,1,1.97,Español,Primaria,10,Informal,20476.050000000003,16817.37,Rural,Propia,Adobe,1,1,1,0,1,Costa,0
29,Hombre,2,2.28,Español,Primaria,16,Informal,767.04,828.77,Urbana,Propia,Ladrillo/Cemento,1,0,1,0,1,Costa,1
41,Hombre,4,1.49,Español,Ninguno,20,Formal,1748.0700000000002,1700.36,Urbana,Propia,Adobe,0,1,1,1,0,Costa,0
26,Hombre,8,2.46,Español,Ninguno,12,Informal,4288.53,4265.18,Rural,Propia,Ladrillo/Cemento,1,1,0,0,1,Costa,1
31,Mujer,4,2.28,Español,Secundaria,6,Informal,3026.73,3293.82,Rural,Alquilada,Adobe,1,1,1,0,1,Selva,0
62,Mujer,3,2.37,Español,Secundaria,9,Informal,10437.66,12303.25,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Selva,1
68,Mujer,2,1.53,Español,Primaria,13,Desempleado,7850.039999999999,7920.93,Urbana,Cedida,Ladrillo/Cemento,1,0,1,0,1,Costa,1
54,Mujer,9,2.04,Español,Ninguno,1,Informal,6821.3099999999995,8114.52,Urbana,Propia,Ladrillo/Cemento,1,1,0,0,1,Sierra,1
37,Hombre,8,1.54,Español,Primaria,17,Informal,3655.68,3206.55,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Costa,0
50,Hombre,7,1.86,Español,Secundaria,21,Formal,5894.25,4198.12,Rural,Propia,Ladrillo/Cemento,1,1,1,0,1,Sierra,0
44,Mujer,8,2.37,Español,Secundaria,20,Informal,10320.81,10409.65,Rural,Cedida,Ladrillo/Cemento,1,1,1,0,1,Selva,0
36,Mujer,3,0.88,Español,Ninguno,3,Informal,2260.32,2091.14,Rural,Alquilada,Ladrillo/Cemento,1,1,1,0,0,Sierra,0
26,Hombre,4,1.34,Español,Primaria,6,Informal,3376.32,3373.43,Urbana,Alquilada,Adobe,1,1,1,1,0,Selva,0
71,Hombre,6,2.65,Español,Secundaria,9,Informal,4716.93,5501.9,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,1,Selva,0
43,Hombre,1,1.28,Español,Secundaria,4,Formal,23170.5,24222.78,Rural,Alquilada,Ladrillo/Cemento,1,1,1,1,1,Costa,0
31,Hombre,3,0.81,Español,Superior,16,Informal,14466.03,15098.24,Urbana,Propia,Ladrillo/Cemento,1,0,1,0,1,Costa,0
19,Hombre,3,2.26,Español,Superior,1,Informal,3453.63,3009.18,Urbana,Propia,Ladrillo/Cemento,0,1,1,0,0,Costa,1
59,Hombre,2,0.86,Español,Superior,14,Informal,5660.88,5334.82,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Costa,0
75,Hombre,4,1.76,Español,Primaria,3,Formal,2434.3500000000004,1866.89,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,0,Costa,0
70,Hombre,3,2.68,Español,Secundaria,11,Informal,7034.76,5750.63,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,0,Sierra,0
45,Mujer,5,0.76,Español,Secundaria,6,Formal,4153.200000000001,3273.59,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Sierra,0
54,Hombre,3,1.62,Español,Ninguno,16,Informal,27708.03,20608.57,Urbana,Alquilada,Adobe,0,1,1,0,1,Selva,0
40,Hombre,6,2.89,Español,Superior,21,Informal,5509.59,5874.1,Urbana,Alquilada,Adobe,1,1,1,1,1,Costa,0
51,Hombre,5,0.57,Español,Secundaria,9,Informal,2311.4700000000003,2324.44,Urbana,Propia,Ladrillo/Cemento,1,1,0,0,1,Selva,1
45,Hombre,2,2.96,Español,Primaria,10,Informal,9349.41,7156.14,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,1,0,Selva,1
66,Hombre,1,0.39,Español,Primaria,10,Desempleado,6695.16,7148.59,Urbana,Propia,Ladrillo/Cemento,0,1,1,0,0,Costa,1
50,Mujer,9,0.95,Español,Primaria,11,Informal,15280.050000000001,13721.83,Urbana,Alquilada,Ladrillo/Cemento,0,1,1,1,1,Costa,0
67,Hombre,2,0.65,Quechua,Ninguno,7,Informal,4153.29,4948.27,Urbana,Cedida,Ladrillo/Cemento,0,0,1,0,0,Sierra,1
77,Mujer,7,0.74,Quechua,Superior,13,Informal,6466.799999999999,5869.33,Urbana,Propia,Ladrillo/Cemento,1,0,1,0,1,Costa,1
64,Hombre,4,2.65,Español,Secundaria,6,Informal,4330.41,3610.52,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,0,Selva,0
43,Hombre,6,0.89,Español,Secundaria,13,Informal,4083.99,3995.65,Urbana,Propia,Adobe,1,0,1,0,1,Sierra,0
68,Hombre,1,0.38,Español,Ninguno,14,Informal,3521.76,3454.17,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Selva,1
30,Mujer,6,1.92,Quechua,Primaria,16,Informal,6471.66,5087.73,Rural,Propia,Ladrillo/Cemento,1,1,1,0,0,Costa,0
44,Hombre,7,2.19,Español,Secundaria,10,Formal,3564.24,4094.61,Urbana,Propia,Madera/Esteras,1,1,1,0,0,Sierra,0
72,Hombre,7,0.86,Español,Ninguno,15,Informal,13158.810000000001,13591.43,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,1,Costa,0
66,Mujer,3,2.8,Español,Secundaria,7,Formal,3362.49,3237.9,Urbana,Propia,Ladrillo/Cemento,1,0,1,0,1,Costa,0
46,Hombre,9,0.19,Español,Primaria,0,Informal,3599.88,4293.31,Urbana,Propia,Ladrillo/Cemento,1,0,1,0,1,Costa,1
35,Hombre,4,0.94,Español,Secundaria,6,Informal,4742.25,4897.85,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,1,Sierra,0
40,Hombre,9,2.17,Quechua,Secundaria,8,Formal,20263.77,15059.99,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Sierra,0
59,Hombre,3,2.97,Español,Primaria,12,Formal,10542.42,7654.0,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,0,Sierra,0
27,Hombre,7,0.02,Español,Primaria,2,Informal,19011.48,14259.34,Rural,Alquilada,Ladrillo/Cemento,1,0,1,0,1,Sierra,1
19,Hombre,1,2.58,Español,Primaria,11,Informal,2693.52,3196.7,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,0,Selva,0
41,Hombre,5,1.95,Aymara,Superior,18,Informal,13330.53,9988.74,Urbana,Alquilada,Madera/Esteras,0,0,1,0,1,Selva,1
73,Mujer,8,0.85,Español,Superior,11,Formal,2050.92,1525.12,Urbana,Cedida,Ladrillo/Cemento,0,1,1,1,1,Sierra,0
41,Mujer,2,1.45,Español,Ninguno,6,Informal,13362.150000000001,14064.8,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,0,Selva,0
25,Mujer,8,0.21,Español,Secundaria,2,Informal,3221.3999999999996,2802.58,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Costa,0
34,Hombre,6,1.17,Español,Ninguno,21,Informal,4627.200000000001,3486.49,Rural,Propia,Ladrillo/Cemento,0,0,1,0,1,Costa,0
70,Hombre,9,0.76,Español,Secundaria,8,Informal,5158.9800000000005,5395.86,Urbana,Cedida,Ladrillo/Cemento,1,1,0,1,0,Costa,0
78,Mujer,9,0.36,Quechua,Secundaria,11,Informal,47726.25,55154.93,Urbana,Propia,Ladrillo/Cemento,1,0,1,0,1,Costa,0
67,Hombre,3,2.31,Español,Primaria,16,Informal,5038.4400000000005,4711.41,Urbana,Propia,Adobe,1,1,1,0,0,Costa,1
35,Hombre,6,2.55,Español,Secundaria,19,Informal,11338.5,11182.92,Rural,Alquilada,Ladrillo/Cemento,1,1,1,0,0,Sierra,0
56,Hombre,6,0.69,Español,Secundaria,11,Informal,4848.4800000000005,5705.01,Urbana,Propia,Adobe,1,1,1,1,1,Sierra,0
18,Hombre,6,1.3,Español,Secundaria,7,Informal,3869.6099999999997,4503.8,Urbana,Propia,Adobe,1,1,1,1,1,Costa,0
55,Mujer,9,0.83,Quechua,Primaria,14,Informal,3352.9800000000005,3995.49,Urbana,Alquilada,Ladrillo/Cemento,1,1,0,0,1,Selva,0
73,Mujer,3,2.4,Quechua,Secundaria,7,Formal,26652.600000000002,26473.41,Rural,Propia,Adobe,1,1,1,0,1,Costa,0
66,Hombre,1,1.84,Español,Secundaria,17,Informal,7092.48,5456.29,Urbana,Propia,Ladrillo/Cemento,1,1,0,0,1,Sierra,0
35,Hombre,8,1.1,Español,Primaria,1,Formal,6133.65,6783.32,Urbana,Alquilada,Adobe,1,0,1,0,1,Costa,1
39,Mujer,4,0.74,Español,Ninguno,3,Formal,4989.6900000000005,4470.08,Rural,Propia,Ladrillo/Cemento,1,1,0,1,1,Costa,1
18,Mujer,6,1.14,Español,Secundaria,4,Informal,4429.9800000000005,3727.73,Urbana,Alquilada,Ladrillo/Cemento,0,1,1,0,0,Costa,0
76,Hombre,3,0.76,Español,Superior,5,Informal,2879.64,3090.22,Urbana,Propia,Adobe,1,1,0,1,1,Costa,0
75,Mujer,9,2.7,Español,Secundaria,10,Informal,12090.0,8957.14,Urbana,Propia,Ladrillo/Cemento,1,0,1,1,1,Costa,0
65,Hombre,2,1.07,Español,Secundaria,8,Desempleado,9850.619999999999,10914.22,Urbana,Alquilada,Ladrillo/Cemento,1,0,1,0,0,Costa,0
46,Hombre,6,1.61,Español,Superior,10,Informal,13143.119999999999,15194.24,Urbana,Alquilada,Adobe,1,1,1,0,0,Costa,0
26,Hombre,3,0.2,Quechua,Primaria,2,Formal,5737.0199999999995,5384.49,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,0,Sierra,0
28,Hombre,6,0.74,Español,Primaria,7,Formal,4988.61,5218.27,Rural,Alquilada,Adobe,1,1,1,1,1,Sierra,0
50,Hombre,9,0.2,Quechua,Secundaria,8,Informal,3288.96,3448.19,Urbana,Propia,Ladrillo/Cemento,1,0,1,0,0,Sierra,0
69,Hombre,3,1.24,Español,Secundaria,1,Formal,14867.34,17035.94,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,1,Sierra,0
71,Hombre,8,0.36,Español,Secundaria,11,Formal,43039.17,50293.5,Rural,Propia,Adobe,1,1,1,0,1,Costa,0
26,Hombre,5,1.68,Español,Secundaria,1,Informal,8940.72,6453.27,Urbana,Propia,Madera/Esteras,1,1,1,0,1,Selva,0
40,Hombre,5,1.83,Español,Superior,7,Informal,16303.53,13349.39,Urbana,Propia,Ladrillo/Cemento,0,1,1,1,0,Sierra,1
66,Hombre,2,0.11,Español,Secundaria,15,Formal,15816.75,12834.34,Rural,Propia,Adobe,1,1,1,1,1,Costa,0
40,Hombre,2,0.65,Español,Secundaria,1,Informal,4857.33,5572.83,Rural,Alquilada,Ladrillo/Cemento,1,1,1,0,1,Selva,0
41,Hombre,2,0.59,Español,Secundaria,3,Informal,2533.17,2814.5,Rural,Propia,Madera/Esteras,1,1,1,1,0,Costa,0
23,Mujer,2,0.63,Quechua,Secundaria,18,Informal,2370.36,2844.16,Rural,Alquilada,Ladrillo/Cemento,0,0,1,0,1,Costa,0
47,Mujer,2,0.21,Español,Superior,1,Informal,11542.74,11405.93,Urbana,Propia,Adobe,1,1,1,0,1,Selva,0
70,Hombre,5,2.78,Español,Secundaria,14,Informal,4493.3099999999995,3641.92,Urbana,Cedida,Ladrillo/Cemento,1,1,1,1,1,Sierra,0
44,Hombre,3,2.73,Español,Ninguno,13,Informal,3568.6499999999996,3621.96,Rural,Propia,Ladrillo/Cemento,1,1,1,1,1,Costa,1
67,Hombre,8,2.8,Español,Primaria,20,Informal,1713.09,1839.06,Urbana,Alquilada,Ladrillo/Cemento,1,1,0,0,0,Selva,1
72,Mujer,9,1.2,Español,Ninguno,13,Formal,2974.77,2947.27,Rural,Propia,Ladrillo/Cemento,1,1,1,0,1,Sierra,1
26,Mujer,1,2.62,Español,Superior,14,Formal,3562.26,3368.87,Urbana,Cedida,Ladrillo/Cemento,0,1,1,1,1,Sierra,0
66,Hombre,5,2.2,Español,Primaria,13,Formal,1502.04,1075.06,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Costa,1
73,Hombre,4,2.03,Español,Secundaria,4,Desempleado,4605.24,5503.46,Urbana,Propia,Ladrillo/Cemento,0,1,1,0,1,Costa,0
75,Hombre,1,0.76,Español,Secundaria,13,Formal,3721.29,3200.71,Rural,Propia,Ladrillo/Cemento,1,1,0,0,1,Costa,0
51,Hombre,5,2.49,Español,Secundaria,7,Informal,5315.49,3976.96,Urbana,Propia,Adobe,1,1,1,0,0,Sierra,1
55,Mujer,1,0.66,Español,Primaria,0,Informal,13331.670000000002,13897.93,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,1,Sierra,0
64,Mujer,2,2.04,Aymara,Superior,11,Informal,4045.41,4849.78,Urbana,Propia,Ladrillo/Cemento,1,0,1,1,1,Costa,0
77,Hombre,4,1.71,Quechua,Superior,13,Formal,25084.89,23343.84,Urbana,Cedida,Ladrillo/Cemento,1,1,1,0,0,Costa,0
40,Mujer,7,0.39,Español,Primaria,20,Informal,3291.2699999999995,2641.76,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Costa,0
30,Mujer,4,2.56,Español,Primaria,18,Informal,8363.64,9641.38,Rural,Propia,Ladrillo/Cemento,1,1,1,0,1,Selva,0
71,Hombre,9,2.29,Español,Superior,8,Formal,4724.37,3706.0,Urbana,Propia,Ladrillo/Cemento,0,1,1,0,1,Costa,0
64,Hombre,6,1.26,Español,Secundaria,11,Formal,3936.84,4300.68,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,1,1,Sierra,0
61,Mujer,9,2.17,Español,Superior,12,Formal,2989.2,2103.23,Urbana,Propia,Ladrillo/Cemento,1,0,1,0,1,Costa,0
46,Hombre,2,1.62,Español,Secundaria,14,Informal,3501.06,3915.22,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Sierra,0
52,Hombre,1,0.41,Español,Secundaria,15,Informal,9078.06,10638.53,Rural,Propia,Ladrillo/Cemento,1,1,1,0,1,Costa,1
25,Hombre,2,0.84,Español,Primaria,5,Informal,4414.950000000001,4688.52,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,1,Selva,0
58,Hombre,9,2.88,Español,Secundaria,5,Informal,13715.28,12146.89,Urbana,Propia,Ladrillo/Cemento,0,1,1,1,0,Costa,0
58,Hombre,5,2.0,Quechua,Primaria,16,Informal,3946.41,4443.99,Rural,Propia,Ladrillo/Cemento,0,0,1,0,0,Selva,1
64,Mujer,5,0.6,Español,Primaria,8,Formal,8231.22,7826.47,Urbana,Alquilada,Adobe,0,0,1,0,1,Sierra,0
48,Hombre,8,1.46,Español,Secundaria,18,Informal,2448.1499999999996,2191.85,Rural,Propia,Ladrillo/Cemento,1,1,0,0,1,Costa,0
48,Hombre,6,2.42,Quechua,Superior,21,Formal,6335.58,4701.48,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,1,Sierra,0
71,Mujer,4,0.18,Español,Primaria,13,Informal,5926.11,5509.72,Urbana,Propia,Ladrillo/Cemento,0,1,1,0,0,Costa,0
33,Hombre,2,1.64,Español,Secundaria,9,Informal,3585.75,3917.42,Rural,Propia,Ladrillo/Cemento,0,1,1,1,1,Sierra,0
55,Hombre,9,1.51,Español,Secundaria,5,Informal,5832.6,6314.14,Urbana,Alquilada,Ladrillo/Cemento,1,0,1,1,1,Costa,0
28,Hombre,5,2.65,Español,Superior,13,Informal,8828.34,10345.94,Urbana,Propia,Ladrillo/Cemento,1,1,1,1,1,Costa,0
40,Hombre,9,1.78,Español,Secundaria,13,Informal,7214.58,7413.34,Urbana,Propia,Ladrillo/Cemento,0,1,0,0,0,Sierra,1
76,Hombre,9,0.11,Español,Primaria,21,Formal,1090.1399999999999,912.49,Urbana,Propia,Ladrillo/Cemento,1,1,1,0,1,Sierra,0
18,Hombre,7,2.37,Español,Primaria,20,Desempleado,10198.26,7718.07,Urbana,Alquilada,Adobe,1,1,1,0,0,Costa,0
61,Hombre,4,1.39,Español,Primaria,2,Informal,3605.3999999999996,3507.36,Urbana,Alquilada,Ladrillo/Cemento,1,1,1,0,0,Costa,0
